<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.19	09:00:00	179395	180023	179343	179646	223907	694244	1
2021.04.19	09:30:00	179646	179653	179366	179439	168481	585530	1
2021.04.19	10:00:00	179447	179469	179048	179070	344906	1212234	1
2021.04.19	10:30:00	179078	179705	178982	179307	432382	1588832	1
2021.04.19	11:00:00	179307	179831	178790	179816	416394	1660519	1
2021.04.19	11:30:00	179809	180229	179572	179580	308781	1330468	1
2021.04.19	12:00:00	179580	180768	179432	180717	353809	1500965	1
2021.04.19	12:30:00	180717	180835	180229	180384	195637	778238	1
2021.04.19	13:00:00	180384	180665	180192	180259	179845	680975	1
2021.04.19	13:30:00	180251	180266	179580	179831	220345	876147	1
2021.04.19	14:00:00	179823	180096	179786	180045	162367	630991	1
2021.04.19	14:30:00	180045	180296	179868	180023	184192	682381	1
2021.04.19	15:00:00	180015	180665	179875	180311	214230	803389	1
2021.04.19	15:30:00	180303	180318	179735	179956	204191	845179	1
2021.04.19	16:00:00	179956	180060	178731	178856	270811	1126992	1
2021.04.19	16:30:00	178849	179454	178760	179358	180169	779171	1
2021.04.19	17:00:00	179358	179395	179048	179129	82738	336601	1
2021.04.19	17:30:00	179129	179321	179041	179166	48842	199386	1
2021.04.20	09:00:00	178509	178952	178354	178635	241212	736265	1
2021.04.20	09:30:00	178635	178753	178539	178716	147143	519352	1
2021.04.20	10:00:00	178716	179786	178583	179410	448481	1704123	1
2021.04.20	10:30:00	179410	179565	178266	178546	479756	1974111	1
2021.04.20	11:00:00	178546	179380	178435	179159	343893	1378577	1
2021.04.20	11:30:00	179166	179181	178332	178664	326466	1336292	1
2021.04.20	12:00:00	178672	178878	177933	178118	306593	1260447	1
2021.04.20	12:30:00	178118	178458	177786	178435	260249	1082752	1
2021.04.20	13:00:00	178428	178553	177926	178044	193790	784898	1
2021.04.20	13:30:00	178044	178177	177645	177874	159533	660663	1
2021.04.20	14:00:00	177874	177970	177564	177793	189455	772160	1
2021.04.20	14:30:00	177793	178317	177727	178214	189014	781704	1
2021.04.20	15:00:00	178214	178435	177719	177845	208877	845027	1
2021.04.20	15:30:00	177852	178022	177660	177778	167366	687528	1
2021.04.20	16:00:00	177771	178111	177756	177764	134466	549289	1
2021.04.20	16:30:00	177771	178140	177579	178000	173619	718882	1
2021.04.20	17:00:00	178000	178022	177586	177645	92478	374275	1
2021.04.20	17:30:00	177645	177756	177557	177579	48261	174925	1
2021.04.22	09:00:00	178325	178723	177867	178502	267916	782522	1
2021.04.22	09:30:00	178509	178915	178465	178886	205425	684980	1
2021.04.22	10:00:00	178893	179277	178642	179026	365902	1261074	1
2021.04.22	10:30:00	179026	179336	177513	177586	523815	2023799	1
2021.04.22	11:00:00	177594	178458	177195	178421	421445	1656585	1
2021.04.22	11:30:00	178421	179151	177941	178081	355350	1468820	1
2021.04.22	12:00:00	178081	178384	177956	178007	205291	867476	1
2021.04.22	12:30:00	178007	178435	177793	178111	238975	924074	1
2021.04.22	13:00:00	178111	178686	177956	178384	224742	878115	1
2021.04.22	13:30:00	178384	178553	178088	178162	190027	732920	1
2021.04.22	14:00:00	178162	178332	176627	177439	437248	1753756	1
2021.04.22	14:30:00	177439	177549	176767	177262	291980	1155118	1
2021.04.22	15:00:00	177262	177800	176796	177719	240842	956352	1
2021.04.22	15:30:00	177727	177756	177025	177239	192606	771088	1
2021.04.22	16:00:00	177239	177328	176612	176900	223171	885963	1
2021.04.22	16:30:00	176900	177202	176641	176804	184953	796336	1
2021.04.22	17:00:00	176804	177173	176782	177151	87522	331208	1
2021.04.22	17:30:00	177143	177572	177018	177557	72938	250550	1
2021.04.23	09:00:00	178214	178458	177800	177926	308105	845646	1
2021.04.23	09:30:00	177926	178266	177904	178029	190772	599956	1
2021.04.23	10:00:00	178029	178517	177771	178133	426695	1417671	1
2021.04.23	10:30:00	178125	179115	177956	178524	517096	1848049	1
2021.04.23	11:00:00	178524	178649	178096	178376	368288	1360871	1
2021.04.23	11:30:00	178369	178782	177778	177933	369307	1388949	1
2021.04.23	12:00:00	177941	178465	177623	177808	270161	1018646	1
2021.04.23	12:30:00	177815	178362	177712	177948	221018	757573	1
2021.04.23	13:00:00	177956	178288	177933	178000	135509	459300	1
2021.04.23	13:30:00	178007	178553	178000	178413	191322	681363	1
2021.04.23	14:00:00	178406	178627	178369	178472	159707	562251	1
2021.04.23	14:30:00	178465	178649	178125	178162	155655	555273	1
2021.04.23	15:00:00	178162	178509	177992	178332	166362	575155	1
2021.04.23	15:30:00	178339	178627	178184	178546	140195	539505	1
2021.04.23	16:00:00	178553	178952	178317	178856	163047	611433	1
2021.04.23	16:30:00	178864	178900	178561	178561	114658	443632	1
2021.04.23	17:00:00	178561	178908	178465	178804	92738	335536	1
2021.04.23	17:30:00	178804	179033	178642	178982	65358	197279	1
2021.04.26	09:00:00	179336	179535	178967	179070	223307	589759	1
2021.04.26	09:30:00	179063	179454	178923	179351	246707	799610	1
2021.04.26	10:00:00	179358	179764	179218	179565	401630	1299239	1
2021.04.26	10:30:00	179565	179609	178790	179270	499723	1769173	1
2021.04.26	11:00:00	179277	179307	178694	178937	324674	1263505	1
2021.04.26	11:30:00	178937	179270	178841	179092	273311	1041392	1
2021.04.26	12:00:00	179100	179299	178627	178709	251356	930453	1
2021.04.26	12:30:00	178709	178709	178258	178531	235821	882023	1
2021.04.26	13:00:00	178531	178797	178376	178576	155121	567631	1
2021.04.26	13:30:00	178568	178672	178391	178509	125735	449720	1
2021.04.26	14:00:00	178509	178605	178066	178192	177063	640780	1
2021.04.26	14:30:00	178192	178465	178044	178391	181168	656976	1
2021.04.26	15:00:00	178391	178598	178325	178450	140846	511143	1
2021.04.26	15:30:00	178450	178553	178192	178531	163939	622976	1
2021.04.26	16:00:00	178531	178709	177956	178029	175717	674037	1
2021.04.26	16:30:00	178037	178782	177394	178731	252402	1008126	1
2021.04.26	17:00:00	178738	178878	178546	178598	98219	358697	1
2021.04.26	17:30:00	178590	179092	178583	179085	71005	259661	1
2021.04.27	09:00:00	179100	179284	178797	178827	189152	540077	1
2021.04.27	09:30:00	178827	178841	178627	178827	154149	527649	1
2021.04.27	10:00:00	178827	178893	178229	178524	378375	1362320	1
2021.04.27	10:30:00	178517	179299	178273	179203	479390	1973784	1
2021.04.27	11:00:00	179196	179454	178362	178494	360786	1545102	1
2021.04.27	11:30:00	178487	178517	177970	178229	286060	1195750	1
2021.04.27	12:00:00	178229	178236	177675	177727	251962	999591	1
2021.04.27	12:30:00	177727	178111	177653	177963	207904	845875	1
2021.04.27	13:00:00	177963	178103	177852	177985	128758	617040	1
2021.04.27	13:30:00	177978	178044	177328	177468	198240	846781	1
2021.04.27	14:00:00	177476	177682	176907	177084	291158	1154394	1
2021.04.27	14:30:00	177084	177202	176678	176870	223680	893093	1
2021.04.27	15:00:00	176863	176885	176228	176309	258114	1074950	1
2021.04.27	15:30:00	176309	176804	176294	176553	165604	718846	1
2021.04.27	16:00:00	176560	176848	176494	176649	137525	589271	1
2021.04.27	16:30:00	176649	177003	176634	176856	160098	765514	1
2021.04.27	17:00:00	176856	176959	176612	176693	88964	358205	1
2021.04.27	17:30:00	176693	176752	175940	175999	104520	361470	1
2021.04.28	09:00:00	176605	177358	176479	177335	287247	869677	1
2021.04.28	09:30:00	177335	177675	177210	177645	249990	877554	1
2021.04.28	10:00:00	177653	178007	177601	177808	280779	1043001	1
2021.04.28	10:30:00	177808	178266	177764	178155	273362	1064864	1
2021.04.28	11:00:00	178162	178435	178022	178051	261400	1071724	1
2021.04.28	11:30:00	178059	178502	178000	178428	257595	1036931	1
2021.04.28	12:00:00	178428	178731	178332	178701	230423	878570	1
2021.04.28	12:30:00	178709	178937	178502	178760	212059	825791	1
2021.04.28	13:00:00	178760	178915	178672	178782	118470	493823	1
2021.04.28	13:30:00	178790	179055	178775	178797	134777	546838	1
2021.04.28	14:00:00	178797	178878	178561	178827	182762	725573	1
2021.04.28	14:30:00	178834	179284	178583	178960	199538	727476	1
2021.04.28	15:00:00	178974	179284	178775	179122	238662	926291	1
2021.04.28	15:30:00	179115	179572	179004	179462	208076	946219	1
2021.04.28	16:00:00	179462	179676	179307	179351	166943	780655	1
2021.04.28	16:30:00	179343	179646	179181	179284	160102	697786	1
