<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.10	00:00:00	360980.55	361661.26	353991.93	355285.28	39553	47912	1
2024.07.10	12:00:00	355330.66	357781.22	352925.49	353606.20	45023	57633	1
2024.07.11	00:00:00	362273.90	366131.26	356124.82	357327.41	41520	49018	1
2024.07.11	12:00:00	357350.10	359982.18	354286.91	355784.47	49488	60303	1
2024.07.12	00:00:00	354286.91	361207.46	353084.32	360095.63	35756	41882	1
2024.07.12	12:00:00	360095.63	362931.92	354241.52	357463.55	53112	66390	1
2024.07.15	00:00:00	379359.73	392678.95	379359.73	392565.50	28879	34955	1
2024.07.15	12:00:00	392610.88	396967.43	389683.83	396604.38	57907	74810	1
2024.07.16	00:00:00	395379.10	397398.54	389502.31	393904.23	39279	46836	1
2024.07.16	12:00:00	393881.54	404750.21	393541.19	398986.87	72966	95962	1
2024.07.17	00:00:00	400007.93	406157.01	399690.27	404682.14	37864	45145	1
2024.07.17	12:00:00	404682.14	407404.98	399009.56	402957.68	53633	67903	1
2024.07.18	00:00:00	404455.24	411103.51	402390.42	403978.74	39407	47086	1
2024.07.18	12:00:00	403933.36	405362.85	399486.05	403502.24	55000	71100	1
2024.07.19	00:00:00	400484.43	416322.28	400484.43	415618.88	18065	22487	1
2024.07.19	12:00:00	415664.26	431865.16	413327.16	429278.47	51465	65793	1
2024.07.22	00:00:00	430549.12	430912.17	420565.38	421223.40	38047	43948	1
2024.07.22	12:00:00	421155.33	432455.11	420520.00	429528.06	62560	77473	1
2024.07.23	00:00:00	423015.93	426124.51	418931.67	425443.80	47629	56512	1
2024.07.23	12:00:00	425443.80	425670.70	415255.84	417955.99	70150	86533	1
2024.07.24	00:00:00	422834.41	429165.01	422131.01	426124.51	41067	49212	1
2024.07.24	12:00:00	426079.13	427304.41	421132.64	421904.11	60548	77376	1
2024.07.25	00:00:00	413554.06	415709.64	407609.20	415437.36	36905	45897	1
2024.07.25	12:00:00	415460.05	419476.24	412306.09	418999.74	48763	61698	1
2024.07.26	00:00:00	431107.34	440278.40	428758.11	436528.66	25674	31025	1
2024.07.26	12:00:00	436528.66	441972.56	435692.87	441023.83	30674	37572	1
2024.07.29	00:00:00	450985.49	453221.78	440933.47	441927.38	36743	45594	1
2024.07.29	12:00:00	441904.79	442446.92	428780.70	432169.02	59692	81699	1
2024.07.30	00:00:00	427673.84	432214.19	422839.84	423901.51	34604	43099	1
2024.07.30	12:00:00	423991.87	429571.30	418977.15	423246.44	59118	78230	1
2024.07.31	00:00:00	423133.49	430994.40	422975.37	428758.11	32444	39260	1
2024.07.31	12:00:00	428848.46	431581.71	416063.20	418796.44	58569	73910	1
2024.08.01	00:00:00	417802.54	420400.25	412629.70	413104.06	32506	40273	1
2024.08.01	12:00:00	413126.65	425595.67	405830.47	424059.63	63255	82087	1
2024.08.02	00:00:00	424556.59	428374.10	412516.76	413171.83	44196	55288	1
2024.08.02	12:00:00	413171.83	415521.07	402284.03	402284.03	56737	73522	1
2024.08.05	00:00:00	347302.88	358936.11	326408.23	355434.85	48180	68820	1
2024.08.05	12:00:00	355525.20	362731.03	342694.76	356157.69	75184	106048	1
2024.08.06	00:00:00	359523.42	364583.31	350487.90	362008.19	47458	60858	1
2024.08.06	12:00:00	361917.83	367068.08	358665.04	361872.65	60121	81461	1
2024.08.07	00:00:00	366028.99	367836.10	356089.92	358122.91	45801	58701	1
2024.08.07	12:00:00	358235.86	359817.07	349561.76	351707.69	61845	83806	1
2024.08.08	00:00:00	366277.47	376758.68	363205.39	376103.60	45500	57769	1
2024.08.08	12:00:00	376013.25	381615.27	374793.45	375742.18	57901	79858	1
2024.08.09	00:00:00	381073.14	383196.49	372082.79	376984.57	49488	63455	1
2024.08.09	12:00:00	377007.15	382112.22	374319.09	377639.64	53661	72494	1
2024.08.12	00:00:00	374206.14	378136.59	361059.46	375809.95	46465	60235	1
2024.08.12	12:00:00	375809.95	377797.76	364922.14	365757.93	67179	93836	1
2024.08.13	00:00:00	366797.01	372195.74	365012.50	371563.25	36358	47555	1
2024.08.13	12:00:00	371608.43	382428.47	369846.50	377323.40	65234	89818	1
2024.08.14	00:00:00	378430.25	381795.98	363340.93	367226.20	51190	65757	1
2024.08.14	12:00:00	367248.79	370117.57	363883.06	364786.61	50755	70526	1
2024.08.15	00:00:00	364176.71	371134.06	362437.37	369214.02	45435	57989	1
2024.08.15	12:00:00	369236.61	371382.54	348997.04	353989.16	74157	100654	1
2024.08.16	00:00:00	363227.98	364357.42	356135.10	360833.57	45174	59406	1
2024.08.16	12:00:00	360720.63	371585.84	358281.03	367293.97	53889	73946	1
2024.08.19	00:00:00	363905.65	364063.77	357354.89	359636.36	34689	45986	1
2024.08.19	12:00:00	359636.36	364199.30	358145.50	362279.25	49347	70832	1
2024.08.20	00:00:00	372331.27	376306.90	367677.98	367858.69	39891	51202	1
2024.08.20	12:00:00	367903.87	370614.52	363205.39	366390.42	49244	68880	1
2024.08.21	00:00:00	368287.88	374002.84	364402.60	368491.17	45347	59270	1
2024.08.21	12:00:00	368423.41	384009.68	367361.73	381050.55	57435	78310	1
2024.08.22	00:00:00	380892.43	384325.93	378701.31	380463.24	40007	52272	1
2024.08.22	12:00:00	380463.24	384506.64	378610.96	384280.75	43824	59828	1
2024.08.23	00:00:00	383874.15	390221.61	378836.85	379808.17	39344	49382	1
2024.08.23	12:00:00	379627.46	403390.88	379175.68	398850.53	59034	76895	1
2024.08.26	00:00:00	396004.34	398669.82	392051.30	394671.60	38113	53251	1
2024.08.26	12:00:00	394671.60	396704.59	390583.03	391305.87	47378	74828	1
2024.08.27	00:00:00	387081.76	388821.10	383625.67	384280.75	31215	44868	1
2024.08.27	12:00:00	384235.57	387013.99	381027.96	381773.39	42417	65087	1
2024.08.28	00:00:00	374296.50	376623.14	368061.99	369688.38	33303	47993	1
2024.08.28	12:00:00	369552.85	374883.81	362911.74	372489.39	64564	100157	1
2024.08.29	00:00:00	377571.87	388527.44	375403.35	387307.65	34036	48996	1
2024.08.29	12:00:00	387239.88	389950.54	374206.14	378091.42	64852	100105	1
2024.08.30	00:00:00	375842.88	384027.55	373212.09	375483.11	26475	39069	1
2024.08.30	12:00:00	375483.11	380227.53	368017.97	374741.10	38618	61317	1
2024.09.02	00:00:00	372200.25	376494.96	370558.82	374313.88	31290	43819	1
2024.09.02	12:00:00	374291.39	377259.46	370693.73	376989.63	34284	50505	1
2024.09.03	00:00:00	376629.87	377416.86	367073.59	367253.47	35770	52869	1
2024.09.03	12:00:00	367320.93	372087.82	367006.13	371278.35	47943	73284	1
2024.09.04	00:00:00	361856.98	366241.63	357944.53	365881.86	35088	51064	1
2024.09.04	12:00:00	365949.32	373931.62	365387.19	370806.16	58224	90808	1
2024.09.05	00:00:00	361856.98	366511.45	353694.80	358664.06	35874	52825	1
2024.09.05	12:00:00	358731.52	359428.56	351626.14	353042.72	58358	90511	1
2024.09.06	00:00:00	352930.29	357787.13	343081.70	345420.18	48866	71895	1
2024.09.06	12:00:00	345150.36	346184.68	332266.24	336403.55	70215	112127	1
