<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.10	09:00:00	360980.55	361411.67	360141.01	360345.23	570	664	1
2024.07.10	09:06:00	360277.15	361207.46	359936.80	360526.75	765	902	1
2024.07.10	09:12:00	360617.51	361661.26	359619.13	360095.63	1140	1351	1
2024.07.10	09:18:00	360027.56	360277.15	359142.64	359165.33	678	818	1
2024.07.10	09:24:00	359233.40	359414.92	358620.76	359097.26	844	1119	1
2024.07.10	09:30:00	358983.81	358983.81	355262.59	355444.11	3175	3933	1
2024.07.10	09:36:00	355444.11	356737.46	355239.90	355875.23	1973	2441	1
2024.07.10	09:42:00	355807.16	356147.51	354309.60	355761.78	1979	2420	1
2024.07.10	09:48:00	355761.78	356419.80	355126.45	355739.09	1449	1771	1
2024.07.10	09:54:00	355693.71	356918.98	355058.38	356828.22	1131	1358	1
2024.07.10	10:00:00	356828.22	357622.38	355602.95	356714.77	2102	2487	1
2024.07.10	10:06:00	356714.77	357418.17	356487.87	357372.79	1059	1252	1
2024.07.10	10:12:00	357372.79	357667.77	356192.89	356306.35	1196	1453	1
2024.07.10	10:18:00	356283.66	356896.29	355398.73	355761.78	1295	1501	1
2024.07.10	10:24:00	355739.09	356351.73	355512.18	356238.27	949	1112	1
2024.07.10	10:30:00	356215.58	356805.53	354922.23	355217.21	1651	1974	1
2024.07.10	10:36:00	355239.90	356306.35	354354.98	355171.83	2244	2692	1
2024.07.10	10:42:00	355171.83	356056.75	354014.62	355648.33	2321	2885	1
2024.07.10	10:48:00	355716.40	355739.09	353991.93	354718.02	1354	1639	1
2024.07.10	10:54:00	354695.33	355897.92	354354.98	355739.09	1113	1365	1
2024.07.10	11:00:00	355761.78	356419.80	355126.45	356397.11	1402	1712	1
2024.07.10	11:06:00	356397.11	356487.87	354808.78	354922.23	1063	1237	1
2024.07.10	11:12:00	354944.93	355126.45	353991.93	354196.14	1498	1786	1
2024.07.10	11:18:00	354241.52	355557.56	354105.38	355194.52	1246	1492	1
2024.07.10	11:24:00	355217.21	356215.58	355217.21	355988.68	896	1086	1
2024.07.10	11:30:00	355920.61	356397.11	355081.07	355239.90	1158	1476	1
2024.07.10	11:36:00	355262.59	355807.16	354899.54	355013.00	675	832	1
2024.07.10	11:42:00	355013.00	355512.18	354309.60	354536.50	929	1178	1
2024.07.10	11:48:00	354559.19	355602.95	354559.19	355103.76	1009	1174	1
2024.07.10	11:54:00	355103.76	355784.47	354854.16	355285.28	689	802	1
2024.07.10	12:00:00	355330.66	355466.80	354128.07	354128.07	1063	1268	1
2024.07.10	12:06:00	354128.07	355194.52	354060.00	355194.52	938	1171	1
2024.07.10	12:12:00	355239.90	355965.99	355081.07	355943.30	1116	1426	1
2024.07.10	12:18:00	355943.30	356260.96	355671.02	356147.51	839	1054	1
2024.07.10	12:24:00	356170.20	356419.80	355852.54	356238.27	857	1143	1
2024.07.10	12:30:00	356238.27	356714.77	355693.71	356170.20	1265	1632	1
2024.07.10	12:36:00	356170.20	356419.80	356102.13	356215.58	395	480	1
2024.07.10	12:42:00	356238.27	357350.10	356011.37	356283.66	1437	1730	1
2024.07.10	12:48:00	356260.96	357168.58	356124.82	356669.39	1277	1723	1
2024.07.10	12:54:00	356669.39	356987.06	355285.28	355466.80	1052	1355	1
2024.07.10	13:00:00	355512.18	356555.94	355285.28	356465.18	985	1191	1
2024.07.10	13:06:00	356465.18	356828.22	355852.54	356782.84	907	1157	1
2024.07.10	13:12:00	356737.46	357213.96	356419.80	356805.53	779	950	1
2024.07.10	13:18:00	356805.53	356964.37	356238.27	356487.87	638	738	1
2024.07.10	13:24:00	356533.25	357440.86	356533.25	357213.96	827	1055	1
2024.07.10	13:30:00	357236.65	357781.22	356805.53	357304.72	880	1150	1
2024.07.10	13:36:00	357350.10	357372.79	356510.56	356941.67	629	814	1
2024.07.10	13:42:00	356941.67	357055.13	356124.82	356351.73	872	1138	1
2024.07.10	13:48:00	356351.73	356442.49	355058.38	356306.35	1480	2084	1
2024.07.10	13:54:00	356329.04	356941.67	356034.06	356669.39	713	1039	1
2024.07.10	14:00:00	356669.39	356850.91	355693.71	355965.99	859	1081	1
2024.07.10	14:06:00	355943.30	356170.20	355330.66	355761.78	641	756	1
2024.07.10	14:12:00	355739.09	356555.94	355489.49	356011.37	918	1134	1
2024.07.10	14:18:00	356034.06	356374.42	355829.85	356192.89	625	759	1
2024.07.10	14:24:00	356215.58	356283.66	355103.76	356238.27	1039	1259	1
