<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.19	09:00:00	179395	179801	179343	179690	17705	48843	1
2021.04.19	09:02:00	179690	179868	179624	179853	19249	51130	1
2021.04.19	09:04:00	179853	179875	179705	179875	16723	44593	1
2021.04.19	09:06:00	179875	180023	179868	179941	24504	76668	1
2021.04.19	09:08:00	179941	179956	179786	179809	14544	44551	1
2021.04.19	09:10:00	179801	179816	179624	179742	21889	72334	1
2021.04.19	09:12:00	179749	179764	179631	179690	11735	39382	1
2021.04.19	09:14:00	179690	179698	179565	179624	15234	48455	1
2021.04.19	09:16:00	179624	179690	179609	179631	10809	36597	1
2021.04.19	09:18:00	179639	179653	179528	179572	12782	40736	1
2021.04.19	09:20:00	179565	179653	179535	179624	13532	43088	1
2021.04.19	09:22:00	179631	179653	179565	179624	7581	24493	1
2021.04.19	09:24:00	179617	179720	179609	179676	16488	54044	1
2021.04.19	09:26:00	179676	179742	179631	179661	15304	48452	1
2021.04.19	09:28:00	179661	179698	179639	179646	5828	20878	1
2021.04.19	09:30:00	179646	179653	179402	179491	36361	116050	1
2021.04.19	09:32:00	179491	179513	179425	179498	11299	37312	1
2021.04.19	09:34:00	179498	179498	179425	179469	7774	26224	1
2021.04.19	09:36:00	179469	179484	179366	179447	17455	58951	1
2021.04.19	09:38:00	179454	179462	179373	179388	6936	25834	1
2021.04.19	09:40:00	179388	179580	179380	179462	23698	87011	1
2021.04.19	09:42:00	179454	179513	179432	179498	7948	29146	1
2021.04.19	09:44:00	179498	179535	179439	179498	10570	36246	1
2021.04.19	09:46:00	179491	179513	179447	179469	5486	20353	1
2021.04.19	09:48:00	179469	179558	179469	179484	9733	36916	1
2021.04.19	09:50:00	179476	179521	179469	179498	6211	23251	1
2021.04.19	09:52:00	179498	179506	179454	179491	4965	16768	1
2021.04.19	09:54:00	179491	179528	179425	179469	10109	36219	1
2021.04.19	09:56:00	179476	179521	179462	179476	4852	18099	1
2021.04.19	09:58:00	179469	179498	179439	179439	5084	17150	1
2021.04.19	10:00:00	179447	179469	179255	179425	46533	165532	1
2021.04.19	10:02:00	179425	179439	179277	179292	14404	47674	1
2021.04.19	10:04:00	179292	179329	179262	179277	15464	53558	1
2021.04.19	10:06:00	179284	179307	179107	179151	34108	116521	1
2021.04.19	10:08:00	179159	179233	179129	179225	18666	67808	1
2021.04.19	10:10:00	179218	179262	179151	179181	19418	71190	1
2021.04.19	10:12:00	179181	179262	179166	179255	11718	47032	1
2021.04.19	10:14:00	179262	179314	179122	179151	25944	88714	1
2021.04.19	10:16:00	179151	179277	179070	179262	24420	83808	1
2021.04.19	10:18:00	179255	179454	179225	179380	33050	114064	1
2021.04.19	10:20:00	179380	179439	179203	179240	27740	95700	1
2021.04.19	10:22:00	179240	179270	179159	179211	17087	61076	1
2021.04.19	10:24:00	179211	179292	179159	179188	15833	52748	1
2021.04.19	10:26:00	179188	179321	179137	179174	19119	66541	1
2021.04.19	10:28:00	179174	179203	179048	179070	21402	80268	1
2021.04.19	10:30:00	179078	179137	178982	179085	38276	147507	1
2021.04.19	10:32:00	179078	179307	179048	179307	31630	112564	1
2021.04.19	10:34:00	179299	179506	179203	179484	38331	139797	1
2021.04.19	10:36:00	179484	179631	179410	179602	36649	138905	1
2021.04.19	10:38:00	179602	179705	179550	179676	24679	90194	1
2021.04.19	10:40:00	179668	179705	179366	179380	44598	162111	1
2021.04.19	10:42:00	179388	179513	179299	179410	32023	114721	1
2021.04.19	10:44:00	179417	179432	179181	179196	27546	100476	1
2021.04.19	10:46:00	179188	179373	179144	179233	29123	112729	1
2021.04.19	10:48:00	179240	179528	179188	179476	23991	83033	1
2021.04.19	10:50:00	179476	179543	179380	179476	23810	84562	1
2021.04.19	10:52:00	179484	179594	179417	179484	20584	73022	1
2021.04.19	10:54:00	179491	179550	179240	179277	28032	102056	1
2021.04.19	10:56:00	179270	179454	179255	179314	19421	72589	1
2021.04.19	10:58:00	179314	179402	179262	179307	13689	54566	1
2021.04.19	11:00:00	179307	179380	179151	179159	23154	82232	1
2021.04.19	11:02:00	179159	179188	178886	178960	42912	166006	1
2021.04.19	11:04:00	178952	179078	178827	179004	37992	143263	1
2021.04.19	11:06:00	179004	179055	178804	178841	32954	127074	1
2021.04.19	11:08:00	178841	178996	178790	178952	20787	80327	1
2021.04.19	11:10:00	178952	178982	178834	178967	19096	83154	1
2021.04.19	11:12:00	178967	179100	178945	179048	21529	87819	1
2021.04.19	11:14:00	179048	179166	178937	179019	28649	107113	1
2021.04.19	11:16:00	179019	179277	179011	179203	27341	97430	1
2021.04.19	11:18:00	179211	179277	179166	179255	15799	63521	1
2021.04.19	11:20:00	179262	179439	179240	179358	30090	127733	1
2021.04.19	11:22:00	179351	179558	179321	179476	30070	131880	1
2021.04.19	11:24:00	179476	179543	179417	179498	21801	94332	1
2021.04.19	11:26:00	179491	179543	179358	179454	20361	86078	1
2021.04.19	11:28:00	179454	179831	179432	179816	43859	182557	1
2021.04.19	11:30:00	179809	180074	179772	180000	46297	202843	1
2021.04.19	11:32:00	180008	180119	179978	180008	21975	88117	1
2021.04.19	11:34:00	180008	180067	179986	179993	11575	47911	1
2021.04.19	11:36:00	179993	180229	179986	180126	30208	126951	1
2021.04.19	11:38:00	180126	180155	179949	179956	20260	76865	1
2021.04.19	11:40:00	179956	180015	179897	179927	22702	98498	1
2021.04.19	11:42:00	179927	179941	179816	179868	18971	78514	1
2021.04.19	11:44:00	179860	179882	179705	179794	25377	109131	1
2021.04.19	11:46:00	179786	179823	179749	179772	11704	58297	1
2021.04.19	11:48:00	179779	179971	179720	179927	23197	94763	1
2021.04.19	11:50:00	179927	179934	179764	179816	17989	79948	1
2021.04.19	11:52:00	179816	179838	179757	179757	9745	55063	1
2021.04.19	11:54:00	179764	179794	179676	179727	18908	86212	1
2021.04.19	11:56:00	179727	179735	179631	179639	14852	65131	1
2021.04.19	11:58:00	179639	179690	179572	179580	15021	62224	1
2021.04.19	12:00:00	179580	179757	179432	179668	41169	162144	1
2021.04.19	12:02:00	179668	179779	179653	179727	17201	80122	1
2021.04.19	12:04:00	179727	179764	179594	179690	19630	91585	1
2021.04.19	12:06:00	179690	180067	179646	180045	33101	129586	1
2021.04.19	12:08:00	180045	180274	179986	180163	37831	166305	1
2021.04.19	12:10:00	180155	180178	180060	180170	19788	83621	1
2021.04.19	12:12:00	180170	180170	179949	179956	19435	87179	1
2021.04.19	12:14:00	179956	180104	179956	180008	12689	54307	1
2021.04.19	12:16:00	180000	180089	179897	180052	19065	80451	1
2021.04.19	12:18:00	180060	180089	179949	180067	12531	57822	1
2021.04.19	12:20:00	180067	180074	179971	180023	9542	46657	1
2021.04.19	12:22:00	180015	180222	180008	180170	21058	84188	1
2021.04.19	12:24:00	180163	180399	180141	180325	30705	123914	1
2021.04.19	12:26:00	180325	180650	180311	180606	36750	154868	1
2021.04.19	12:28:00	180606	180768	180598	180717	23314	98216	1
2021.04.19	12:30:00	180717	180790	180650	180694	19911	77917	1
2021.04.19	12:32:00	180694	180739	180628	180643	10020	39791	1
2021.04.19	12:34:00	180643	180835	180628	180709	21333	89104	1
2021.04.19	12:36:00	180709	180709	180547	180598	17321	68869	1
2021.04.19	12:38:00	180598	180628	180562	180613	5497	22656	1
2021.04.19	12:40:00	180606	180702	180502	180517	15066	52949	1
2021.04.19	12:42:00	180517	180547	180355	180362	16966	64200	1
2021.04.19	12:44:00	180362	180377	180259	180311	16179	64122	1
2021.04.19	12:46:00	180303	180362	180229	180281	12360	48636	1
2021.04.19	12:48:00	180274	180384	180229	180347	12073	47921	1
2021.04.19	12:50:00	180347	180480	180311	180414	16747	63398	1
2021.04.19	12:52:00	180399	180421	180347	180384	8408	37145	1
2021.04.19	12:54:00	180384	180429	180340	180384	7152	31681	1
2021.04.19	12:56:00	180377	180407	180318	180347	7515	30165	1
2021.04.19	12:58:00	180340	180429	180311	180384	9089	39684	1
2021.04.19	13:00:00	180384	180407	180192	180303	18295	73432	1
2021.04.19	13:02:00	180303	180473	180274	180443	16384	68834	1
