<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.19	09:00:00	179395	179875	179343	179786	46263	123798	1
2021.04.19	09:05:00	179786	180023	179705	179809	46462	141987	1
2021.04.19	09:10:00	179801	179816	179624	179661	37188	123263	1
2021.04.19	09:15:00	179661	179690	179528	179572	35261	114241	1
2021.04.19	09:20:00	179565	179720	179535	179624	33018	106647	1
2021.04.19	09:25:00	179631	179742	179624	179646	25715	84308	1
2021.04.19	09:30:00	179646	179653	179402	179462	51612	167734	1
2021.04.19	09:35:00	179462	179498	179366	179388	28213	96637	1
2021.04.19	09:40:00	179388	179580	179380	179469	36536	134096	1
2021.04.19	09:45:00	179469	179558	179439	179484	20899	75576	1
2021.04.19	09:50:00	179476	179528	179454	179491	14083	50980	1
2021.04.19	09:55:00	179491	179521	179425	179439	17138	60507	1
2021.04.19	10:00:00	179447	179469	179255	179284	67844	237380	1
2021.04.19	10:05:00	179284	179329	179107	179225	61331	213713	1
2021.04.19	10:10:00	179218	179314	179151	179203	44514	164794	1
2021.04.19	10:15:00	179203	179454	179070	179380	70036	240014	1
2021.04.19	10:20:00	179380	179439	179159	179233	53047	184276	1
2021.04.19	10:25:00	179225	179321	179048	179070	48134	172057	1
2021.04.19	10:30:00	179078	179343	178982	179314	82895	306521	1
2021.04.19	10:35:00	179314	179705	179314	179676	86670	322446	1
2021.04.19	10:40:00	179668	179705	179299	179410	84421	306872	1
2021.04.19	10:45:00	179410	179528	179144	179476	72860	266198	1
2021.04.19	10:50:00	179476	179594	179329	179343	58607	210129	1
2021.04.19	10:55:00	179343	179454	179240	179307	46929	176666	1
2021.04.19	11:00:00	179307	179380	178827	178989	88689	333182	1
2021.04.19	11:05:00	178989	179078	178790	178952	69110	265720	1
2021.04.19	11:10:00	178952	179166	178834	179115	54114	224448	1
2021.04.19	11:15:00	179122	179277	178937	179255	58300	214589	1
2021.04.19	11:20:00	179262	179558	179240	179476	69486	297945	1
2021.04.19	11:25:00	179469	179831	179358	179816	76695	324635	1
2021.04.19	11:30:00	179809	180119	179772	180030	73479	313233	1
