<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.22	08:00:00	123.76	124.61	122.90	123.29	90813	3398234	1
2021.06.22	16:00:00	123.28	124.08	123.27	123.82	15849	1169337	1
2021.06.23	08:00:00	123.82	124.95	123.25	123.69	83863	3497808	1
2021.06.23	16:00:00	123.69	123.80	123.26	123.54	11239	1434173	1
2021.06.24	08:00:00	124.74	124.74	123.91	124.14	39189	3115146	1
2021.06.24	16:00:00	124.13	124.53	124.13	124.53	5217	587663	1
2021.06.25	08:00:00	124.93	124.93	122.00	122.08	50440	3431534	1
2021.06.25	16:00:00	122.07	122.64	121.76	122.50	21346	1821724	1
2021.06.28	08:00:00	122.57	123.22	121.80	122.48	34229	4012986	1
2021.06.28	16:00:00	122.48	122.70	122.16	122.45	9506	1923679	1
2021.06.29	08:00:00	122.55	122.59	121.33	122.15	39102	4141135	1
2021.06.29	16:00:00	122.15	122.50	122.08	122.31	11499	1134484	1
2021.06.30	08:00:00	121.87	122.34	121.34	121.96	75809	3305006	1
2021.06.30	16:00:00	121.93	122.19	121.78	121.81	15540	1114205	1
2021.07.01	08:00:00	122.12	122.29	120.20	120.25	65061	4873684	1
2021.07.01	16:00:00	120.25	120.85	120.25	120.73	25316	1566768	1
2021.07.02	08:00:00	121.71	122.86	121.22	122.67	43013	5452464	1
2021.07.02	16:00:00	122.67	122.82	122.54	122.78	9322	1343428	1
2021.07.05	08:00:00	122.58	122.58	121.66	122.28	31663	3242521	1
2021.07.05	16:00:00	122.28	122.35	121.97	121.97	18876	1194535	1
2021.07.06	08:00:00	121.50	121.56	120.05	120.33	49217	4499259	1
2021.07.06	16:00:00	120.33	120.44	120.16	120.30	13164	1237003	1
2021.07.07	08:00:00	121.50	122.37	120.43	122.19	37300	3204286	1
2021.07.07	16:00:00	122.21	122.30	122.06	122.28	10318	1229694	1
2021.07.08	08:00:00	120.03	121.13	119.55	120.47	20626	4109076	1
2021.07.08	16:00:00	120.47	120.66	120.12	120.66	5057	1384629	1
2021.07.12	08:00:00	121.44	122.95	121.34	122.82	28678	2595852	1
2021.07.12	16:00:00	122.82	122.90	122.74	122.78	7819	1250407	1
2021.07.13	08:00:00	122.20	123.50	121.61	123.38	43235	4429798	1
2021.07.13	16:00:00	123.40	123.50	122.63	123.32	7350	1111257	1
2021.07.14	08:00:00	124.30	124.71	123.20	123.74	46554	4668004	1
2021.07.14	16:00:00	123.76	123.79	123.31	123.47	9894	1702869	1
2021.07.15	08:00:00	123.23	124.07	122.08	122.53	28571	3170551	1
2021.07.15	16:00:00	122.54	123.50	122.43	122.80	7141	785847	1
2021.07.16	08:00:00	123.01	123.14	121.70	121.76	36496	3360437	1
2021.07.16	16:00:00	121.74	121.77	121.04	121.15	18073	2277736	1
2021.07.19	08:00:00	119.50	119.91	118.64	119.02	49470	5756435	1
