<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.10	09:00:00	360980.55	361661.26	359936.80	360912.48	1850	2178	1
2024.07.10	09:15:00	361003.25	361275.53	358620.76	359097.26	2147	2676	1
2024.07.10	09:30:00	358983.81	358983.81	355239.90	355988.68	5634	6947	1
2024.07.10	09:45:00	355965.99	356918.98	354309.60	356828.22	4073	4976	1
2024.07.10	10:00:00	356828.22	357667.77	355602.95	357486.24	3630	4286	1
2024.07.10	10:15:00	357486.24	357554.31	355398.73	356238.27	2971	3519	1
2024.07.10	10:30:00	356215.58	356805.53	354014.62	354990.31	5508	6642	1
2024.07.10	10:45:00	354967.62	355897.92	353991.93	355739.09	3175	3913	1
2024.07.10	11:00:00	355761.78	356487.87	354150.76	354922.23	3243	3884	1
2024.07.10	11:15:00	354922.23	356215.58	353991.93	355988.68	2862	3429	1
2024.07.10	11:30:00	355920.61	356397.11	354763.40	355262.59	2203	2789	1
2024.07.10	11:45:00	355330.66	355784.47	354309.60	355285.28	2257	2673	1
2024.07.10	12:00:00	355330.66	355716.40	354060.00	355489.49	2595	3174	1
2024.07.10	12:15:00	355512.18	356419.80	355171.83	356238.27	2218	2888	1
2024.07.10	12:30:00	356238.27	357168.58	355693.71	357100.51	2251	2820	1
2024.07.10	12:45:00	357123.20	357350.10	355285.28	355466.80	3175	4100	1
2024.07.10	13:00:00	355512.18	357055.13	355285.28	356533.25	2297	2831	1
2024.07.10	13:15:00	356555.94	357440.86	356238.27	357213.96	1839	2260	1
2024.07.10	13:30:00	357236.65	357781.22	356510.56	356964.37	1777	2309	1
2024.07.10	13:45:00	356918.98	356987.06	355058.38	356669.39	2797	3916	1
2024.07.10	14:00:00	356669.39	356850.91	355330.66	356238.27	1843	2242	1
2024.07.10	14:15:00	356260.96	356555.94	355103.76	356238.27	2239	2747	1
2024.07.10	14:30:00	356170.20	357032.44	355920.61	355965.99	1843	2460	1
2024.07.10	14:45:00	355988.68	356283.66	355557.56	355829.85	1286	1619	1
2024.07.10	15:00:00	355852.54	356442.49	355307.97	356011.37	1596	1908	1
2024.07.10	15:15:00	355988.68	356669.39	355081.07	355126.45	1812	2181	1
2024.07.10	15:30:00	355103.76	355671.02	354536.50	354967.62	2159	2803	1
2024.07.10	15:45:00	354990.31	355625.64	354332.29	355489.49	1572	1939	1
2024.07.10	16:00:00	355466.80	355489.49	353787.72	354150.76	1778	2221	1
2024.07.10	16:15:00	354150.76	355081.07	353923.86	354513.81	1898	2457	1
2024.07.10	16:30:00	354468.43	355580.25	354400.36	355013.00	1284	1759	1
2024.07.10	16:45:00	355035.69	355466.80	354468.43	354559.19	1340	1828	1
2024.07.10	17:00:00	354604.57	355330.66	354377.67	355194.52	1113	1525	1
2024.07.10	17:15:00	355194.52	355602.95	354037.31	354377.67	1131	1569	1
2024.07.10	17:30:00	354354.98	354536.50	353447.36	354150.76	1450	1903	1
2024.07.10	17:45:00	354150.76	355149.14	354014.62	354718.02	748	1058	1
2024.07.10	18:00:00	354718.02	355103.76	353447.36	353696.96	513	593	1
2024.07.10	18:15:00	353696.96	354332.29	352925.49	353606.20	469	523	1
2024.07.11	09:00:00	362273.90	363294.97	360935.17	361956.24	2869	3313	1
2024.07.11	09:15:00	361956.24	363068.07	361048.63	362137.76	2376	2903	1
2024.07.11	09:30:00	362137.76	366131.26	361661.26	362341.97	4631	5225	1
2024.07.11	09:45:00	362410.05	364860.60	361661.26	362705.02	3531	3974	1
2024.07.11	10:00:00	362682.33	363158.83	359165.33	360549.44	3724	4232	1
2024.07.11	10:15:00	360594.82	362931.92	360367.92	362750.40	3070	3688	1
2024.07.11	10:30:00	362614.26	364293.34	359936.80	361139.39	4750	5790	1
2024.07.11	10:45:00	361139.39	361683.96	360072.94	361502.43	2741	3182	1
2024.07.11	11:00:00	361525.12	361978.93	359619.13	360027.56	2605	3063	1
2024.07.11	11:15:00	360050.25	360345.23	356124.82	357554.31	5583	6737	1
2024.07.11	11:30:00	357531.62	359278.78	356987.06	357032.44	2944	3715	1
2024.07.11	11:45:00	356987.06	358280.40	356306.35	357327.41	2696	3196	1
2024.07.11	12:00:00	357350.10	358575.38	357100.51	357713.15	1992	2298	1
2024.07.11	12:15:00	357690.46	359596.44	357350.10	357713.15	2802	3362	1
2024.07.11	12:30:00	357713.15	357713.15	355512.18	356601.32	3486	4132	1
2024.07.11	12:45:00	356578.63	356737.46	354604.57	355421.42	2849	3403	1
2024.07.11	13:00:00	355421.42	356260.96	354286.91	356124.82	2763	3253	1
