<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.10	09:00:00	360980.55	361411.67	360277.15	360912.48	296	349	1
2024.07.10	09:03:00	360935.17	361048.63	360141.01	360345.23	274	315	1
2024.07.10	09:06:00	360277.15	361207.46	360231.77	360980.55	383	457	1
2024.07.10	09:09:00	361025.94	361025.94	359936.80	360526.75	382	445	1
2024.07.10	09:12:00	360617.51	361661.26	360617.51	360912.48	515	612	1
2024.07.10	09:15:00	361003.25	361275.53	359619.13	360095.63	625	739	1
2024.07.10	09:18:00	360027.56	360277.15	359460.30	359596.44	382	471	1
2024.07.10	09:21:00	359505.68	359755.28	359142.64	359165.33	296	347	1
2024.07.10	09:24:00	359233.40	359414.92	358620.76	359074.57	689	926	1
2024.07.10	09:27:00	358983.81	359210.71	358893.04	359097.26	155	193	1
2024.07.10	09:30:00	358983.81	358983.81	356805.53	357032.44	1202	1513	1
2024.07.10	09:33:00	357032.44	357463.55	355262.59	355444.11	1973	2420	1
2024.07.10	09:36:00	355444.11	356737.46	355239.90	356011.37	1270	1582	1
2024.07.10	09:39:00	356011.37	356737.46	355693.71	355875.23	703	859	1
2024.07.10	09:42:00	355807.16	356147.51	355444.11	355988.68	486	573	1
2024.07.10	09:45:00	355965.99	355988.68	354309.60	355761.78	1493	1847	1
2024.07.10	09:48:00	355761.78	356215.58	355534.87	356034.06	648	778	1
2024.07.10	09:51:00	356034.06	356419.80	355126.45	355739.09	801	993	1
2024.07.10	09:54:00	355693.71	356056.75	355058.38	355716.40	535	653	1
2024.07.10	09:57:00	355739.09	356918.98	355648.33	356828.22	596	705	1
2024.07.10	10:00:00	356828.22	357622.38	356555.94	357032.44	1053	1238	1
2024.07.10	10:03:00	357077.82	357168.58	355602.95	356714.77	1049	1249	1
2024.07.10	10:06:00	356714.77	357418.17	356487.87	356987.06	641	760	1
2024.07.10	10:09:00	356987.06	357418.17	356828.22	357372.79	418	492	1
2024.07.10	10:12:00	357372.79	357667.77	357077.82	357486.24	469	547	1
2024.07.10	10:15:00	357486.24	357554.31	356192.89	356306.35	727	906	1
2024.07.10	10:18:00	356283.66	356896.29	356124.82	356238.27	540	631	1
2024.07.10	10:21:00	356215.58	356397.11	355398.73	355761.78	755	870	1
2024.07.10	10:24:00	355739.09	356351.73	355534.87	355897.92	502	598	1
2024.07.10	10:27:00	355943.30	356329.04	355512.18	356238.27	447	514	1
2024.07.10	10:30:00	356215.58	356805.53	355693.71	356260.96	901	1103	1
2024.07.10	10:33:00	356283.66	356510.56	354922.23	355217.21	750	871	1
2024.07.10	10:36:00	355239.90	356215.58	354354.98	355829.85	1471	1754	1
2024.07.10	10:39:00	355807.16	356306.35	355058.38	355171.83	773	938	1
2024.07.10	10:42:00	355171.83	356056.75	354014.62	354990.31	1613	1976	1
2024.07.10	10:45:00	354967.62	355852.54	354854.16	355648.33	708	909	1
2024.07.10	10:48:00	355716.40	355739.09	353991.93	354354.98	805	964	1
2024.07.10	10:51:00	354309.60	354876.85	354082.69	354718.02	549	675	1
2024.07.10	10:54:00	354695.33	355398.73	354354.98	355330.66	619	785	1
2024.07.10	10:57:00	355307.97	355897.92	354831.47	355739.09	494	580	1
2024.07.10	11:00:00	355761.78	356056.75	355126.45	355852.54	763	938	1
2024.07.10	11:03:00	355852.54	356419.80	355829.85	356397.11	639	774	1
2024.07.10	11:06:00	356397.11	356487.87	355852.54	356079.44	418	470	1
2024.07.10	11:09:00	356124.82	356147.51	354808.78	354922.23	645	767	1
2024.07.10	11:12:00	354944.93	355126.45	354150.76	354922.23	778	935	1
2024.07.10	11:15:00	354922.23	355126.45	353991.93	354196.14	720	851	1
2024.07.10	11:18:00	354241.52	355557.56	354105.38	354922.23	867	1047	1
2024.07.10	11:21:00	354922.23	355512.18	354808.78	355194.52	379	445	1
2024.07.10	11:24:00	355217.21	356011.37	355217.21	355920.61	491	592	1
2024.07.10	11:27:00	355943.30	356215.58	355534.87	355988.68	405	494	1
2024.07.10	11:30:00	355920.61	356397.11	355807.16	355897.92	442	523	1
2024.07.10	11:33:00	355920.61	356056.75	355081.07	355239.90	716	953	1
2024.07.10	11:36:00	355262.59	355602.95	355081.07	355376.04	263	322	1
2024.07.10	11:39:00	355398.73	355807.16	354899.54	355013.00	412	510	1
