<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.19	09:00:00	179395	180023	179343	179742	114614	338119	1
2021.04.19	09:12:00	179749	179764	179528	179624	71673	232751	1
2021.04.19	09:24:00	179617	179742	179402	179469	93054	302960	1
2021.04.19	09:36:00	179469	179580	179366	179469	72093	257541	1
2021.04.19	09:48:00	179469	179558	179425	179439	40954	148403	1
2021.04.19	10:00:00	179447	179469	179107	179181	148593	522283	1
2021.04.19	10:12:00	179181	179454	179070	179211	139959	490394	1
2021.04.19	10:24:00	179211	179506	178982	179484	164591	599425	1
2021.04.19	10:36:00	179484	179705	179144	179233	194618	719136	1
2021.04.19	10:48:00	179240	179594	179188	179307	129527	469828	1
2021.04.19	11:00:00	179307	179380	178790	178967	176895	682056	1
2021.04.19	11:12:00	178967	179558	178937	179476	153478	615496	1
2021.04.19	11:24:00	179476	180119	179358	179993	165868	701838	1
2021.04.19	11:36:00	179993	180229	179705	179772	129222	548256	1
2021.04.19	11:48:00	179779	179971	179572	179580	99712	443341	1
2021.04.19	12:00:00	179580	180274	179432	180170	168720	713363	1
2021.04.19	12:12:00	180170	180222	179897	180170	94320	410604	1
2021.04.19	12:24:00	180163	180835	180141	180709	142033	583810	1
2021.04.19	12:36:00	180709	180709	180229	180281	83389	321432	1
2021.04.19	12:48:00	180274	180480	180229	180384	60984	249994	1
2021.04.19	13:00:00	180384	180569	180192	180414	81047	314570	1
2021.04.19	13:12:00	180421	180665	180259	180436	67669	250926	1
2021.04.19	13:24:00	180429	180436	179809	179927	91454	345126	1
2021.04.19	13:36:00	179927	180045	179580	179676	89213	365934	1
2021.04.19	13:48:00	179676	179897	179587	179831	70807	280566	1
2021.04.19	14:00:00	179823	180037	179786	179875	66655	275807	1
2021.04.19	14:12:00	179868	180067	179809	179971	63846	233373	1
2021.04.19	14:24:00	179971	180178	179868	180155	78473	294199	1
2021.04.19	14:36:00	180163	180296	180008	180052	76349	271003	1
2021.04.19	14:48:00	180052	180111	179868	180023	61236	238990	1
2021.04.19	15:00:00	180015	180170	179875	180082	68209	256156	1
2021.04.19	15:12:00	180082	180665	180037	180547	105284	397933	1
2021.04.19	15:24:00	180554	180613	180000	180060	92763	362066	1
2021.04.19	15:36:00	180060	180096	179735	179794	91395	376886	1
2021.04.19	15:48:00	179794	180037	179786	179956	60770	255527	1
2021.04.19	16:00:00	179956	180060	179727	179897	76747	301706	1
2021.04.19	16:12:00	179897	179949	179255	179358	107555	425684	1
2021.04.19	16:24:00	179358	179388	178731	179085	137260	617421	1
2021.04.19	16:36:00	179085	179417	179041	179366	73728	312681	1
2021.04.19	16:48:00	179358	179454	179284	179358	55690	248671	1
2021.04.19	17:00:00	179358	179395	179048	179174	45935	187572	1
2021.04.19	17:12:00	179174	179262	179115	179159	24173	97795	1
2021.04.19	17:24:00	179166	179196	179041	179092	23959	95512	1
2021.04.19	17:36:00	179092	179284	179063	179262	25222	101207	1
2021.04.19	17:48:00	179262	179321	179144	179166	12291	53901	1
2021.04.20	09:00:00	178509	178812	178354	178642	94853	271161	1
2021.04.20	09:12:00	178649	178952	178605	178775	105757	334117	1
2021.04.20	09:24:00	178775	178790	178576	178672	75452	244543	1
2021.04.20	09:36:00	178672	178753	178605	178642	50796	182783	1
2021.04.20	09:48:00	178649	178745	178539	178716	61497	223013	1
2021.04.20	10:00:00	178716	179292	178583	179218	195669	715772	1
2021.04.20	10:12:00	179211	179786	179196	179506	189278	750600	1
2021.04.20	10:24:00	179506	179565	179211	179417	156628	603693	1
2021.04.20	10:36:00	179410	179462	178561	178635	181196	733510	1
2021.04.20	10:48:00	178642	178745	178266	178546	205466	874659	1
2021.04.20	11:00:00	178546	179063	178435	179026	130934	536151	1
2021.04.20	11:12:00	179019	179380	178982	179181	157056	630205	1
2021.04.20	11:24:00	179188	179277	178775	178812	127697	491195	1
2021.04.20	11:36:00	178812	178819	178421	178524	125851	526703	1
2021.04.20	11:48:00	178524	178797	178332	178664	128821	530615	1
2021.04.20	12:00:00	178672	178878	178428	178760	111756	439499	1
2021.04.20	12:12:00	178760	178856	178066	178096	128278	541879	1
2021.04.20	12:24:00	178096	178251	177793	177948	135190	560823	1
2021.04.20	12:36:00	177948	178317	177786	178074	111709	460642	1
2021.04.20	12:48:00	178074	178458	177992	178435	79909	340356	1
2021.04.20	13:00:00	178428	178553	178118	178251	91481	368918	1
2021.04.20	13:12:00	178243	178347	177926	178207	70177	289667	1
2021.04.20	13:24:00	178214	178302	177992	178074	59476	241051	1
2021.04.20	13:36:00	178074	178155	177933	178007	50231	200621	1
2021.04.20	13:48:00	178007	178081	177645	177874	81958	345304	1
2021.04.20	14:00:00	177874	177882	177564	177764	78053	315383	1
2021.04.20	14:12:00	177756	177970	177741	177867	61944	259275	1
2021.04.20	14:24:00	177874	177941	177572	177800	81592	329524	1
2021.04.20	14:36:00	177800	178125	177727	178074	72378	298106	1
2021.04.20	14:48:00	178081	178317	177860	178214	84502	351576	1
2021.04.20	15:00:00	178214	178435	178015	178022	87588	362491	1
2021.04.20	15:12:00	178022	178111	177852	177933	77150	310460	1
2021.04.20	15:24:00	177933	177970	177682	177749	80462	320350	1
2021.04.20	15:36:00	177741	178022	177660	177948	69244	289317	1
2021.04.20	15:48:00	177948	177956	177668	177778	61799	249937	1
2021.04.20	16:00:00	177771	178081	177756	178044	55708	234144	1
2021.04.20	16:12:00	178044	178111	177926	177992	43947	178187	1
2021.04.20	16:24:00	177985	178037	177586	177682	73446	296604	1
2021.04.20	16:36:00	177682	178140	177579	178118	86395	358897	1
2021.04.20	16:48:00	178125	178125	177941	178000	48589	200339	1
2021.04.20	17:00:00	178000	178022	177712	177727	48663	199278	1
2021.04.20	17:12:00	177719	177786	177675	177741	29302	117235	1
