<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.10	09:00:00	360980.55	361661.26	358620.76	359097.26	3997	4854	1
2024.07.10	09:30:00	358983.81	358983.81	354309.60	356828.22	9707	11923	1
2024.07.10	10:00:00	356828.22	357667.77	355398.73	356238.27	6601	7805	1
2024.07.10	10:30:00	356215.58	356805.53	353991.93	355739.09	8683	10555	1
2024.07.10	11:00:00	355761.78	356487.87	353991.93	355988.68	6105	7313	1
2024.07.10	11:30:00	355920.61	356397.11	354309.60	355285.28	4460	5462	1
2024.07.10	12:00:00	355330.66	356419.80	354060.00	356238.27	4813	6062	1
2024.07.10	12:30:00	356238.27	357350.10	355285.28	355466.80	5426	6920	1
2024.07.10	13:00:00	355512.18	357440.86	355285.28	357213.96	4136	5091	1
2024.07.10	13:30:00	357236.65	357781.22	355058.38	356669.39	4574	6225	1
2024.07.10	14:00:00	356669.39	356850.91	355103.76	356238.27	4082	4989	1
2024.07.10	14:30:00	356170.20	357032.44	355557.56	355829.85	3129	4079	1
2024.07.10	15:00:00	355852.54	356669.39	355081.07	355126.45	3408	4089	1
2024.07.10	15:30:00	355103.76	355671.02	354332.29	355489.49	3731	4742	1
2024.07.10	16:00:00	355466.80	355489.49	353787.72	354513.81	3676	4678	1
2024.07.10	16:30:00	354468.43	355580.25	354400.36	354559.19	2624	3587	1
2024.07.10	17:00:00	354604.57	355602.95	354037.31	354377.67	2244	3094	1
2024.07.10	17:30:00	354354.98	355149.14	353447.36	354718.02	2198	2961	1
2024.07.10	18:00:00	354718.02	355103.76	352925.49	353606.20	982	1116	1
2024.07.11	09:00:00	362273.90	363294.97	360935.17	362137.76	5245	6216	1
2024.07.11	09:30:00	362137.76	366131.26	361661.26	362705.02	8162	9199	1
2024.07.11	10:00:00	362682.33	363158.83	359165.33	362750.40	6794	7920	1
2024.07.11	10:30:00	362614.26	364293.34	359936.80	361502.43	7491	8972	1
2024.07.11	11:00:00	361525.12	361978.93	356124.82	357554.31	8188	9800	1
2024.07.11	11:30:00	357531.62	359278.78	356306.35	357327.41	5640	6911	1
2024.07.11	12:00:00	357350.10	359596.44	357100.51	357713.15	4794	5660	1
2024.07.11	12:30:00	357713.15	357713.15	354604.57	355421.42	6335	7535	1
2024.07.11	13:00:00	355421.42	357622.38	354286.91	357440.86	4605	5472	1
2024.07.11	13:30:00	357486.24	358507.31	356192.89	357871.98	4476	5541	1
2024.07.11	14:00:00	357871.98	359256.09	357440.86	359188.02	3432	4048	1
2024.07.11	14:30:00	359188.02	359982.18	358371.17	358666.14	4403	5495	1
2024.07.11	15:00:00	358666.14	359846.04	358030.81	358280.40	4024	5100	1
2024.07.11	15:30:00	358280.40	359505.68	358053.50	358666.14	2937	3657	1
2024.07.11	16:00:00	358643.45	358847.66	356306.35	356465.18	3362	4208	1
2024.07.11	16:30:00	356487.87	357667.77	355829.85	356056.75	4580	5502	1
2024.07.11	17:00:00	355943.30	357282.03	354899.54	356102.13	3966	4955	1
2024.07.11	17:30:00	356034.06	356669.39	355421.42	356102.13	1843	2292	1
2024.07.11	18:00:00	355875.23	357123.20	355671.02	355784.47	731	838	1
2024.07.12	09:00:00	354286.91	355602.95	353424.67	355194.52	4165	4644	1
2024.07.12	09:30:00	355194.52	355739.09	353084.32	355557.56	5664	6264	1
2024.07.12	10:00:00	355534.87	359119.95	355262.59	357871.98	7629	8968	1
2024.07.12	10:30:00	357894.67	361207.46	357486.24	360322.53	8594	10595	1
2024.07.12	11:00:00	360209.08	361071.32	358779.59	360322.53	6148	7257	1
2024.07.12	11:30:00	360299.84	360912.48	359301.47	360095.63	3556	4154	1
2024.07.12	12:00:00	360095.63	361865.48	359573.75	361638.57	3869	4678	1
2024.07.12	12:30:00	361615.88	362387.36	360549.44	361820.10	4327	5208	1
2024.07.12	13:00:00	361933.55	362092.38	360685.58	361888.17	3233	3954	1
2024.07.12	13:30:00	361888.17	362931.92	359936.80	360572.13	4185	5060	1
2024.07.12	14:00:00	360549.44	361706.65	359596.44	360776.34	4176	5003	1
2024.07.12	14:30:00	360776.34	361366.29	359868.73	360027.56	2777	3441	1
2024.07.12	15:00:00	360050.25	361184.77	359414.92	360345.23	3918	5006	1
2024.07.12	15:30:00	360390.61	362591.57	360186.39	361252.84	5188	6448	1
2024.07.12	16:00:00	361252.84	361683.96	358530.00	358893.04	4644	5865	1
2024.07.12	16:30:00	358847.66	358870.35	356238.27	356828.22	6298	8265	1
2024.07.12	17:00:00	356828.22	357236.65	354241.52	355580.25	5586	7225	1
2024.07.12	17:30:00	355512.18	356782.84	354967.62	356170.20	3813	4870	1
2024.07.12	18:00:00	356283.66	357599.69	356192.89	357463.55	1098	1367	1
2024.07.15	09:00:00	379359.73	390114.95	379359.73	390001.49	4019	4609	1
2024.07.15	09:30:00	389978.80	391340.22	389525.00	389956.11	4175	4988	1
2024.07.15	10:00:00	389933.42	391521.75	389388.86	389888.04	5156	6176	1
2024.07.15	10:30:00	389910.73	391907.48	388708.15	391181.39	7007	8617	1
2024.07.15	11:00:00	391204.08	392111.70	390341.85	391499.06	4830	6058	1
2024.07.15	11:30:00	391430.99	392678.95	391181.39	392565.50	3692	4507	1
2024.07.15	12:00:00	392610.88	393268.90	390863.73	391907.48	5359	6905	1
2024.07.15	12:30:00	391930.17	392202.46	390024.18	390818.35	4192	5363	1
2024.07.15	13:00:00	390818.35	392678.95	389683.83	392338.60	4195	5284	1
2024.07.15	13:30:00	392338.60	394902.61	391794.03	393700.02	6497	8534	1
2024.07.15	14:00:00	393722.71	396014.43	393042.00	394789.16	5585	7237	1
2024.07.15	14:30:00	394834.54	395038.75	392179.77	392202.46	5335	7027	1
2024.07.15	15:00:00	392293.22	394448.80	391794.03	394063.06	4582	5900	1
2024.07.15	15:30:00	394085.75	394970.68	393178.14	393972.30	4496	5721	1
2024.07.15	16:00:00	393972.30	395832.91	392951.24	393563.88	5567	7320	1
2024.07.15	16:30:00	393541.19	395855.60	392928.55	394153.83	6472	8434	1
2024.07.15	17:00:00	394221.90	394902.61	393110.07	394630.32	2728	3452	1
2024.07.15	17:30:00	394607.63	395152.20	394108.45	394675.70	1769	2245	1
2024.07.15	18:00:00	394675.70	396967.43	394539.56	396604.38	1130	1388	1
2024.07.16	09:00:00	395379.10	396831.29	393972.30	396649.76	4996	5801	1
2024.07.16	09:30:00	396468.24	397398.54	394267.28	394970.68	5839	6933	1
2024.07.16	10:00:00	394925.30	395288.34	392338.60	393609.26	5928	6946	1
2024.07.16	10:30:00	393654.64	395356.41	391113.32	391385.60	7770	9336	1
2024.07.16	11:00:00	391340.22	393836.16	389502.31	392542.81	10039	12265	1
2024.07.16	11:30:00	392429.36	394199.21	391499.06	393904.23	4707	5555	1
2024.07.16	12:00:00	393881.54	398283.47	393541.19	397648.14	9260	11478	1
2024.07.16	12:30:00	397761.59	402730.77	396876.67	402095.44	8063	10763	1
2024.07.16	13:00:00	402027.37	404750.21	400144.07	400915.55	9226	13073	1
2024.07.16	13:30:00	400802.09	402390.42	399417.98	400779.40	6639	8553	1
2024.07.16	14:00:00	400734.02	400847.47	398510.37	399826.41	5149	6536	1
2024.07.16	14:30:00	399826.41	400461.74	398691.89	399781.03	4786	6103	1
2024.07.16	15:00:00	399758.34	401301.28	398737.27	400053.31	4911	6302	1
2024.07.16	15:30:00	400121.38	401074.38	399145.70	401074.38	3677	4663	1
2024.07.16	16:00:00	401006.31	402934.99	400234.84	402934.99	5540	7240	1
2024.07.16	16:30:00	402934.99	403479.55	400053.31	403229.96	7448	10357	1
2024.07.16	17:00:00	403139.20	403456.86	401210.52	401528.19	4236	5714	1
2024.07.16	17:30:00	401550.88	402594.63	399962.55	400665.95	2780	3710	1
2024.07.16	18:00:00	400529.81	401119.76	398986.87	398986.87	1251	1470	1
2024.07.17	09:00:00	400007.93	402730.77	399690.27	402299.66	3861	4557	1
2024.07.17	09:30:00	402231.59	403093.82	400983.62	402004.68	5727	6860	1
2024.07.17	10:00:00	402095.44	404092.19	402072.75	403025.75	6000	6893	1
2024.07.17	10:30:00	403184.58	406157.01	401868.54	405408.23	9687	11480	1
2024.07.17	11:00:00	405362.85	405998.18	402889.61	403797.22	7011	8325	1
2024.07.17	11:30:00	403797.22	406043.56	403593.01	404682.14	5578	7030	1
2024.07.17	12:00:00	404682.14	405975.49	403706.46	405862.04	4066	4933	1
2024.07.17	12:30:00	405862.04	407404.98	403298.03	404182.95	7504	9551	1
2024.07.17	13:00:00	404182.95	404659.45	401414.73	401959.30	7507	9509	1
2024.07.17	13:30:00	401913.92	401981.99	399327.22	401301.28	6378	8019	1
2024.07.17	14:00:00	401233.21	401845.85	399009.56	400915.55	4725	6004	1
2024.07.17	14:30:00	400892.86	401891.23	400529.81	400960.93	3589	4647	1
2024.07.17	15:00:00	400892.86	402571.94	400620.57	402413.11	3156	3980	1
2024.07.17	15:30:00	402458.49	403252.65	401755.09	403139.20	3688	4622	1
2024.07.17	16:00:00	403139.20	404455.24	402617.32	404205.64	3894	5024	1
2024.07.17	16:30:00	404251.03	404455.24	402526.56	403298.03	4222	5494	1
2024.07.17	17:00:00	403275.34	403774.53	402844.22	403502.24	2439	3161	1
2024.07.17	17:30:00	403479.55	403706.46	402322.35	402503.87	1240	1480	1
2024.07.17	18:00:00	402413.11	403003.06	401482.80	402957.68	1225	1479	1
2024.07.18	09:00:00	404455.24	407404.98	404205.64	406724.27	3858	4309	1
2024.07.18	09:30:00	406746.96	409197.52	406429.30	408789.09	6156	7113	1
2024.07.18	10:00:00	408766.40	411103.51	408698.33	409628.63	7232	8754	1
2024.07.18	10:30:00	409628.63	410445.49	406383.92	407200.77	7578	9401	1
2024.07.18	11:00:00	407200.77	408403.36	405272.09	406724.27	6620	7795	1
2024.07.18	11:30:00	406724.27	406905.79	402390.42	403978.74	7963	9714	1
2024.07.18	12:00:00	403933.36	404228.33	400665.95	402594.63	6881	8490	1
2024.07.18	12:30:00	402571.94	403706.46	400189.46	400870.17	5601	7047	1
2024.07.18	13:00:00	400870.17	402526.56	399486.05	402458.49	4494	5833	1
2024.07.18	13:30:00	402435.80	404840.97	402027.37	404840.97	4366	5866	1
2024.07.18	14:00:00	404772.90	405362.85	403706.46	404455.24	3659	4697	1
2024.07.18	14:30:00	404432.55	405045.19	402345.04	402685.39	4496	5723	1
2024.07.18	15:00:00	402685.39	404477.93	402481.18	403593.01	4990	6446	1
2024.07.18	15:30:00	403570.32	403842.60	401755.09	403003.06	4391	5642	1
2024.07.18	16:00:00	402957.68	403865.29	401460.11	402526.56	5186	6606	1
2024.07.18	16:30:00	402458.49	405317.47	402367.73	404228.33	5749	7842	1
2024.07.18	17:00:00	404205.64	404546.00	403229.96	404432.55	2590	3469	1
2024.07.18	17:30:00	404477.93	404500.62	401709.71	402957.68	2023	2734	1
2024.07.18	18:00:00	402957.68	403865.29	402390.42	403502.24	574	705	1
2024.07.19	09:00:00	400484.43	405725.90	400484.43	405476.30	1288	1646	1
2024.07.19	09:30:00	405635.14	407382.29	404296.41	407132.70	3002	3916	1
2024.07.19	10:00:00	407087.32	407858.79	404546.00	404614.07	3478	4490	1
2024.07.19	10:30:00	404500.62	412601.07	404069.50	411126.20	4109	4844	1
2024.07.19	11:00:00	411194.27	416322.28	410445.49	414302.84	3855	4714	1
2024.07.19	11:30:00	414325.53	416004.62	413690.21	415618.88	2333	2877	1
2024.07.19	12:00:00	415664.26	416639.95	413327.16	413939.80	2860	3575	1
2024.07.19	12:30:00	413939.80	416481.12	413508.68	416458.43	2487	2993	1
2024.07.19	13:00:00	416367.66	421654.51	416322.28	421041.87	5100	6630	1
2024.07.19	13:30:00	421064.56	422743.65	420701.52	422267.15	4887	6314	1
2024.07.19	14:00:00	422289.84	424241.21	420928.42	422562.13	4738	5924	1
2024.07.19	14:30:00	422607.51	424672.33	421858.73	424195.83	4859	6118	1
2024.07.19	15:00:00	424105.07	424558.88	422766.34	423469.74	3834	4570	1
2024.07.19	15:30:00	423469.74	426124.51	423152.08	425988.37	3414	4308	1
2024.07.19	16:00:00	425988.37	428461.61	425965.68	427985.12	5723	7382	1
2024.07.19	16:30:00	427962.43	430662.58	427848.97	429096.94	6779	8996	1
2024.07.19	17:00:00	429028.87	429528.06	427259.03	427690.14	3101	4152	1
2024.07.19	17:30:00	427622.07	428325.47	426714.46	427009.43	2000	2797	1
2024.07.19	18:00:00	426895.98	431865.16	426623.70	429278.47	1683	2034	1
2024.07.22	09:00:00	430549.12	430549.12	428552.38	428688.52	4159	4560	1
2024.07.22	09:30:00	428643.14	429913.80	428302.78	429074.25	4527	5018	1
2024.07.22	10:00:00	429051.56	430912.17	427939.74	428098.57	5836	6668	1
2024.07.22	10:30:00	428121.26	430299.53	423537.81	424195.83	10026	11771	1
2024.07.22	11:00:00	424218.52	425829.53	422221.77	423288.22	7391	8488	1
2024.07.22	11:30:00	423310.91	423492.43	420565.38	421223.40	6108	7443	1
2024.07.22	12:00:00	421155.33	422516.75	420520.00	422199.08	6151	7146	1
2024.07.22	12:30:00	422085.63	424536.19	421745.27	423174.77	4819	5898	1
2024.07.22	13:00:00	423242.84	423832.79	421314.16	422199.08	5418	6617	1
2024.07.22	13:30:00	422176.39	424400.04	421223.40	423061.31	4362	5435	1
2024.07.22	14:00:00	423129.38	425080.75	422607.51	424921.92	3436	4235	1
2024.07.22	14:30:00	424899.23	426396.79	424604.26	426260.65	4538	5891	1
2024.07.22	15:00:00	426260.65	427758.21	425897.61	426510.24	6191	7537	1
2024.07.22	15:30:00	426532.94	427803.59	425761.46	427327.10	4594	5749	1
2024.07.22	16:00:00	427304.41	429301.16	426669.08	428892.73	5583	7022	1
2024.07.22	16:30:00	428915.42	432432.42	428121.26	432001.31	6466	8229	1
2024.07.22	17:00:00	432092.07	432455.11	430004.56	430186.08	6243	7805	1
2024.07.22	17:30:00	430163.39	431978.62	429573.44	431660.95	3181	4024	1
2024.07.22	18:00:00	431683.64	432228.21	428847.35	429528.06	1578	1885	1
2024.07.23	09:00:00	423015.93	424309.28	421654.51	423197.46	7381	8819	1
2024.07.23	09:30:00	423288.22	423855.48	422380.60	422471.37	4029	4485	1
2024.07.23	10:00:00	422471.37	423492.43	421858.73	422471.37	5252	6184	1
2024.07.23	10:30:00	422448.67	424558.88	419249.34	419884.67	14008	16441	1
2024.07.23	11:00:00	419975.43	424309.28	418931.67	423492.43	8131	10240	1
2024.07.23	11:30:00	423447.05	426124.51	422947.86	425443.80	8828	10343	1
2024.07.23	12:00:00	425443.80	425670.70	421155.33	421336.85	6973	8637	1
