<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.19	06:00:00	179395	180229	178790	179580	1894851	7071827	1
2021.04.19	12:00:00	179580	180835	178731	179166	2297176	9240415	1
2021.04.20	06:00:00	178509	179786	178266	178664	1986951	7648720	1
2021.04.20	12:00:00	178672	178878	177557	177579	2123701	8692550	1
2021.04.22	06:00:00	178325	179336	177195	178081	2139853	7877780	1
2021.04.22	12:00:00	178081	178686	176612	177557	2590295	10302956	1
2021.04.23	06:00:00	178214	179115	177771	177933	2180263	7461142	1
2021.04.23	12:00:00	177941	179033	177623	178982	1875730	6736946	1
2021.04.26	06:00:00	179336	179764	178694	179092	1969352	6762678	1
2021.04.26	12:00:00	179100	179299	177394	179085	2028392	7562223	1
2021.04.27	06:00:00	179100	179454	177970	178229	1847912	7144682	1
2021.04.27	12:00:00	178229	178236	175940	175999	2216527	9225030	1
2021.04.28	06:00:00	176605	178502	176479	178428	1610373	5963751	1
2021.04.28	12:00:00	178428	180119	178332	180074	2073553	8395148	1
2021.04.29	06:00:00	179698	180207	178022	178199	1965773	7484690	1
2021.04.29	12:00:00	178199	178317	177298	177572	2147073	9167167	1
2021.04.30	06:00:00	177232	177867	176221	176767	2064468	7729676	1
2021.04.30	12:00:00	176767	177978	175564	175785	2578156	10473702	1
2021.05.03	06:00:00	176885	177675	175888	177143	1997697	7162344	1
2021.05.03	12:00:00	177151	177195	175431	176479	2202034	8989215	1
2021.05.04	06:00:00	176088	176737	174633	174759	2184046	8099195	1
2021.05.04	12:00:00	174751	175778	174102	174493	2326217	9426449	1
2021.05.05	06:00:00	175261	177114	174921	176915	2035884	7445116	1
2021.05.05	12:00:00	176907	177483	176619	177247	1780317	7773725	1
2021.05.06	06:00:00	177217	177645	176228	176811	2110035	7774809	1
2021.05.06	12:00:00	176804	177800	176176	177741	2224672	8966156	1
2021.05.07	06:00:00	178111	179410	177741	179277	1703332	6152673	1
