<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.19	08:00:00	179395	180835	178790	179956	3609467	13870092	1
2021.04.19	16:00:00	179956	180060	178731	179166	582560	2442150	1
2021.04.20	08:00:00	178509	179786	177564	177778	3661828	14523899	1
2021.04.20	16:00:00	177771	178140	177557	177579	448824	1817371	1
2021.04.22	08:00:00	178325	179336	176627	177239	4161564	15916679	1
2021.04.22	16:00:00	177239	177572	176612	177557	568584	2264057	1
2021.04.23	08:00:00	178214	179115	177623	178546	3620192	12610208	1
2021.04.23	16:00:00	178553	179033	178317	178982	435801	1587880	1
2021.04.26	08:00:00	179336	179764	178044	178531	3400401	12024380	1
2021.04.26	16:00:00	178531	179092	177394	179085	597343	2300521	1
2021.04.27	08:00:00	179100	179454	176228	176553	3573332	14295252	1
2021.04.27	16:00:00	176560	177003	175940	175999	491107	2074460	1
2021.04.28	08:00:00	176605	179572	176479	179462	3135140	12034332	1
2021.04.28	16:00:00	179462	180119	179181	180074	548786	2324567	1
2021.04.29	08:00:00	179698	180207	177298	178170	3552714	14326354	1
2021.04.29	16:00:00	178177	178199	177431	177572	560132	2325503	1
2021.04.30	08:00:00	177232	177978	176221	177047	4013197	15633506	1
2021.04.30	16:00:00	177055	177084	175564	175785	629427	2569872	1
2021.05.03	08:00:00	176885	177675	175431	176988	3661616	13957609	1
2021.05.03	16:00:00	176988	177011	176088	176479	538115	2193950	1
2021.05.04	08:00:00	176088	176737	174242	174382	4062563	15658272	1
2021.05.04	16:00:00	174382	174515	174102	174493	447700	1867372	1
2021.05.05	08:00:00	175261	177372	174921	177143	3266934	12895854	1
2021.05.05	16:00:00	177143	177483	176619	177247	549267	2322987	1
2021.05.06	08:00:00	177217	177645	176176	176686	3853669	14770768	1
2021.05.06	16:00:00	176686	177800	176678	177741	481038	1970197	1
2021.05.07	08:00:00	178111	179809	177741	179786	2849212	11005831	1
2021.05.07	16:00:00	179794	181174	179749	180731	597176	2589956	1
2021.05.10	08:00:00	180569	181676	180200	180790	3388544	12941796	1
2021.05.10	16:00:00	180798	180849	180288	180429	462681	1833045	1
2021.05.11	08:00:00	179085	181300	177867	181115	3964248	15614489	1
2021.05.11	16:00:00	181115	181979	181027	181551	510725	2190532	1
2021.05.12	08:00:00	181248	181455	177675	177845	4143451	15594644	1
2021.05.12	16:00:00	177845	177860	176664	177033	656236	2868466	1
2021.05.13	08:00:00	177343	179727	176929	179055	4085208	15838080	1
2021.05.13	16:00:00	179048	179284	178140	178613	494565	2009910	1
2021.05.14	08:00:00	179417	180835	178930	180451	3731568	14552242	1
2021.05.14	16:00:00	180458	180495	179838	179927	497659	2052527	1
2021.05.17	08:00:00	179299	182031	179151	181957	3359381	12004020	1
2021.05.17	16:00:00	181964	182156	181551	181625	414427	1622442	1
2021.05.18	08:00:00	182422	182850	181182	182200	3825726	14998749	1
2021.05.18	16:00:00	182200	182717	181462	181462	602888	2587021	1
2021.05.19	08:00:00	180067	182341	179676	180436	4151104	15671108	1
2021.05.19	16:00:00	180436	181758	180178	181758	568776	2244315	1
2021.05.20	08:00:00	181595	181935	180576	181226	3288816	12996451	1
