<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.19	00:00:00	179395	180229	178790	179580	1894851	7071827	1
2021.04.19	12:00:00	179580	180835	178731	179166	2297176	9240415	1
2021.04.20	00:00:00	178509	179786	178266	178664	1986951	7648720	1
2021.04.20	12:00:00	178672	178878	177557	177579	2123701	8692550	1
2021.04.22	00:00:00	178325	179336	177195	178081	2139853	7877780	1
2021.04.22	12:00:00	178081	178686	176612	177557	2590295	10302956	1
2021.04.23	00:00:00	178214	179115	177771	177933	2180263	7461142	1
2021.04.23	12:00:00	177941	179033	177623	178982	1875730	6736946	1
2021.04.26	00:00:00	179336	179764	178694	179092	1969352	6762678	1
2021.04.26	12:00:00	179100	179299	177394	179085	2028392	7562223	1
2021.04.27	00:00:00	179100	179454	177970	178229	1847912	7144682	1
2021.04.27	12:00:00	178229	178236	175940	175999	2216527	9225030	1
2021.04.28	00:00:00	176605	178502	176479	178428	1610373	5963751	1
2021.04.28	12:00:00	178428	180119	178332	180074	2073553	8395148	1
2021.04.29	00:00:00	179698	180207	178022	178199	1965773	7484690	1
2021.04.29	12:00:00	178199	178317	177298	177572	2147073	9167167	1
2021.04.30	00:00:00	177232	177867	176221	176767	2064468	7729676	1
2021.04.30	12:00:00	176767	177978	175564	175785	2578156	10473702	1
2021.05.03	00:00:00	176885	177675	175888	177143	1997697	7162344	1
2021.05.03	12:00:00	177151	177195	175431	176479	2202034	8989215	1
2021.05.04	00:00:00	176088	176737	174633	174759	2184046	8099195	1
2021.05.04	12:00:00	174751	175778	174102	174493	2326217	9426449	1
2021.05.05	00:00:00	175261	177114	174921	176915	2035884	7445116	1
2021.05.05	12:00:00	176907	177483	176619	177247	1780317	7773725	1
2021.05.06	00:00:00	177217	177645	176228	176811	2110035	7774809	1
2021.05.06	12:00:00	176804	177800	176176	177741	2224672	8966156	1
2021.05.07	00:00:00	178111	179410	177741	179277	1703332	6152673	1
2021.05.07	12:00:00	179270	181174	178613	180731	1743056	7443114	1
2021.05.10	00:00:00	180569	181676	180318	180598	1820113	6548753	1
2021.05.10	12:00:00	180598	181263	180200	180429	2031112	8226088	1
2021.05.11	00:00:00	179085	180141	177867	179971	2243440	8335122	1
2021.05.11	12:00:00	179971	181979	179801	181551	2231533	9469899	1
2021.05.12	00:00:00	181248	181455	178775	178827	2292458	8066972	1
2021.05.12	12:00:00	178834	179004	176664	177033	2507229	10396138	1
2021.05.13	00:00:00	177343	179506	176929	178864	2071831	7611001	1
2021.05.13	12:00:00	178864	179727	177225	178613	2507942	10236989	1
2021.05.14	00:00:00	179417	180835	179417	180015	1912336	7232426	1
2021.05.14	12:00:00	180023	180576	178930	179927	2316891	9372343	1
2021.05.17	00:00:00	179299	181189	179151	180990	1846655	6426083	1
2021.05.17	12:00:00	180990	182156	180192	181625	1927153	7200379	1
2021.05.18	00:00:00	182422	182614	181182	181521	2094686	7811881	1
2021.05.18	12:00:00	181514	182850	181270	181462	2333928	9773889	1
2021.05.19	00:00:00	180067	181529	179676	180909	2197222	8132200	1
2021.05.19	12:00:00	180909	182341	180133	181758	2522658	9783223	1
2021.05.20	00:00:00	181595	181935	180731	181381	1754776	6649918	1
2021.05.20	12:00:00	181374	181625	180576	181226	1972503	8201446	1
2021.05.21	00:00:00	181898	181972	180443	180650	1394408	5087609	1
2021.05.21	12:00:00	180658	181625	180000	181248	1710024	6958729	1
2021.05.24	00:00:00	181536	182828	181167	181935	1627105	6245853	1
2021.05.24	12:00:00	181927	183714	181927	183293	1739632	7464616	1
2021.05.25	00:00:00	183182	184460	183094	183234	1824890	7171814	1
2021.05.25	12:00:00	183234	183249	181447	182075	1959581	8812836	1
2021.05.26	00:00:00	182378	183677	182355	183647	1700709	6582346	1
2021.05.26	12:00:00	183655	183839	182769	182924	1676122	7318923	1
2021.05.27	00:00:00	182924	184179	182902	183337	1625488	6749727	1
2021.05.27	12:00:00	183330	184002	182533	183972	1902635	8988844	1
2021.05.28	00:00:00	184327	184777	183603	184607	1626722	6454629	1
2021.05.28	12:00:00	184600	185862	184386	185323	1563541	7098033	1
2021.05.31	00:00:00	185323	186231	185139	186017	1257305	4965410	1
2021.05.31	12:00:00	186017	186541	185471	186246	1606228	6387740	1
2021.06.01	00:00:00	186925	189723	186549	189206	1860860	7635921	1
2021.06.01	12:00:00	189206	189819	189103	189627	1557954	7572989	1
2021.06.02	00:00:00	189376	190447	189066	190284	1731799	7059220	1
