<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.10	09:00:00	360980.55	361411.67	360186.39	360549.44	499	579	1
2024.07.10	09:05:00	360572.13	361207.46	359936.80	360186.39	695	818	1
2024.07.10	09:10:00	360118.32	361661.26	360118.32	360912.48	656	781	1
2024.07.10	09:15:00	361003.25	361275.53	359619.13	359664.52	880	1060	1
2024.07.10	09:20:00	359709.90	359914.11	358779.59	358824.97	604	727	1
2024.07.10	09:25:00	358847.66	359414.92	358620.76	359097.26	663	889	1
2024.07.10	09:30:00	358983.81	358983.81	355466.80	355602.95	2484	3081	1
2024.07.10	09:35:00	355557.56	356737.46	355239.90	356419.80	2266	2819	1
2024.07.10	09:40:00	356419.80	356737.46	355444.11	355988.68	884	1047	1
2024.07.10	09:45:00	355965.99	356215.58	354309.60	356056.75	1952	2406	1
2024.07.10	09:50:00	356034.06	356419.80	355126.45	355988.68	1103	1341	1
2024.07.10	09:55:00	355965.99	356918.98	355058.38	356828.22	1018	1229	1
2024.07.10	10:00:00	356828.22	357622.38	355602.95	356238.27	1889	2221	1
2024.07.10	10:05:00	356260.96	357418.17	356170.20	357123.20	965	1153	1
2024.07.10	10:10:00	357100.51	357667.77	356828.22	357486.24	776	912	1
2024.07.10	10:15:00	357486.24	357554.31	356124.82	356397.11	1059	1302	1
2024.07.10	10:20:00	356510.56	356896.29	355398.73	355761.78	1087	1251	1
2024.07.10	10:25:00	355807.16	356351.73	355512.18	356238.27	825	966	1
2024.07.10	10:30:00	356215.58	356805.53	355693.71	356056.75	1169	1412	1
2024.07.10	10:35:00	356034.06	356215.58	354354.98	355965.99	2115	2493	1
2024.07.10	10:40:00	355943.30	356306.35	354014.62	354990.31	2224	2737	1
2024.07.10	10:45:00	354967.62	355852.54	354332.29	354423.05	1215	1522	1
2024.07.10	10:50:00	354377.67	355285.28	353991.93	354944.93	1084	1329	1
2024.07.10	10:55:00	354944.93	355897.92	354354.98	355739.09	876	1062	1
2024.07.10	11:00:00	355761.78	356419.80	355126.45	356147.51	1245	1541	1
2024.07.10	11:05:00	356079.44	356487.87	355625.64	355716.40	811	925	1
2024.07.10	11:10:00	355807.16	356147.51	354150.76	354922.23	1187	1418	1
2024.07.10	11:15:00	354922.23	355557.56	353991.93	354740.71	1447	1729	1
2024.07.10	11:20:00	354831.47	355671.02	354718.02	355625.64	682	823	1
2024.07.10	11:25:00	355602.95	356215.58	355398.73	355988.68	733	877	1
2024.07.10	11:30:00	355920.61	356397.11	355081.07	355285.28	966	1228	1
2024.07.10	11:35:00	355307.97	355807.16	355081.07	355761.78	569	707	1
2024.07.10	11:40:00	355761.78	355807.16	354763.40	355262.59	668	854	1
2024.07.10	11:45:00	355330.66	355512.18	354309.60	355307.97	1011	1237	1
2024.07.10	11:50:00	355285.28	355602.95	354718.02	355149.14	642	730	1
2024.07.10	11:55:00	355081.07	355784.47	354854.16	355285.28	604	706	1
2024.07.10	12:00:00	355330.66	355466.80	354241.52	354627.26	910	1090	1
2024.07.10	12:05:00	354649.95	354944.93	354060.00	354445.74	855	1060	1
2024.07.10	12:10:00	354491.12	355716.40	354423.05	355489.49	830	1024	1
2024.07.10	12:15:00	355512.18	356124.82	355171.83	355829.85	891	1160	1
2024.07.10	12:20:00	355807.16	356397.11	355761.78	356215.58	648	820	1
2024.07.10	12:25:00	356238.27	356419.80	355852.54	356238.27	679	908	1
2024.07.10	12:30:00	356238.27	356714.77	355693.71	356442.49	1081	1399	1
2024.07.10	12:35:00	356465.18	356533.25	356011.37	356283.66	433	540	1
2024.07.10	12:40:00	356238.27	357168.58	356011.37	357100.51	737	881	1
2024.07.10	12:45:00	357123.20	357350.10	356124.82	356646.70	1468	1857	1
2024.07.10	12:50:00	356669.39	357123.20	356238.27	356760.15	753	1002	1
2024.07.10	12:55:00	356782.84	356850.91	355285.28	355466.80	954	1241	1
2024.07.10	13:00:00	355512.18	356283.66	355285.28	355943.30	759	924	1
2024.07.10	13:05:00	355943.30	356646.70	355943.30	356306.35	668	807	1
2024.07.10	13:10:00	356329.04	357055.13	355852.54	356533.25	870	1100	1
2024.07.10	13:15:00	356555.94	357213.96	356329.04	356351.73	534	644	1
2024.07.10	13:20:00	356419.80	357009.75	356238.27	356987.06	619	743	1
2024.07.10	13:25:00	356987.06	357440.86	356737.46	357213.96	686	873	1
2024.07.10	13:30:00	357236.65	357781.22	356805.53	357372.79	806	1049	1
2024.07.10	13:35:00	357395.48	357463.55	356873.60	356873.60	440	591	1
2024.07.10	13:40:00	356873.60	357055.13	356510.56	356964.37	531	669	1
2024.07.10	13:45:00	356918.98	356987.06	355716.40	355784.47	998	1294	1
2024.07.10	13:50:00	355761.78	356442.49	355058.38	356397.11	1218	1784	1
2024.07.10	13:55:00	356351.73	356941.67	356124.82	356669.39	581	838	1
2024.07.10	14:00:00	356669.39	356850.91	355693.71	356238.27	750	949	1
2024.07.10	14:05:00	356238.27	356329.04	355534.87	355580.25	500	587	1
2024.07.10	14:10:00	355557.56	356283.66	355330.66	356238.27	593	706	1
2024.07.10	14:15:00	356260.96	356555.94	355489.49	355852.54	805	997	1
2024.07.10	14:20:00	355875.23	356306.35	355580.25	355602.95	494	615	1
2024.07.10	14:25:00	355580.25	356260.96	355103.76	356238.27	940	1135	1
2024.07.10	14:30:00	356170.20	356692.08	356011.37	356601.32	626	849	1
2024.07.10	14:35:00	356624.01	357032.44	356351.73	356828.22	710	937	1
2024.07.10	14:40:00	356828.22	356828.22	355920.61	355965.99	507	674	1
2024.07.10	14:45:00	355988.68	356283.66	355557.56	356034.06	640	838	1
2024.07.10	14:50:00	356079.44	356260.96	355761.78	356147.51	340	400	1
2024.07.10	14:55:00	356124.82	356124.82	355580.25	355829.85	306	381	1
2024.07.10	15:00:00	355852.54	356442.49	355671.02	356351.73	486	574	1
2024.07.10	15:05:00	356374.42	356419.80	355307.97	355557.56	568	689	1
2024.07.10	15:10:00	355534.87	356102.13	355534.87	356011.37	542	645	1
2024.07.10	15:15:00	355988.68	356669.39	355920.61	356102.13	704	893	1
2024.07.10	15:20:00	356056.75	356397.11	355489.49	355602.95	541	629	1
2024.07.10	15:25:00	355602.95	355648.33	355081.07	355126.45	567	659	1
2024.07.10	15:30:00	355103.76	355353.35	354536.50	354944.93	1024	1332	1
2024.07.10	15:35:00	354944.93	355671.02	354604.57	355398.73	698	904	1
2024.07.10	15:40:00	355376.04	355557.56	354718.02	354967.62	437	567	1
2024.07.10	15:45:00	354990.31	355330.66	354332.29	354876.85	850	1102	1
2024.07.10	15:50:00	354831.47	355171.83	354695.33	355103.76	293	351	1
2024.07.10	15:55:00	355126.45	355625.64	354854.16	355489.49	429	486	1
2024.07.10	16:00:00	355466.80	355489.49	354559.19	354649.95	506	622	1
2024.07.10	16:05:00	354581.88	354899.54	354491.12	354854.16	389	470	1
2024.07.10	16:10:00	354876.85	354876.85	353787.72	354150.76	883	1129	1
2024.07.10	16:15:00	354150.76	354808.78	353923.86	354718.02	709	898	1
2024.07.10	16:20:00	354718.02	355081.07	354060.00	355081.07	737	941	1
2024.07.10	16:25:00	355035.69	355081.07	354400.36	354513.81	452	618	1
2024.07.10	16:30:00	354468.43	355194.52	354400.36	355013.00	440	587	1
2024.07.10	16:35:00	354990.31	355262.59	354922.23	355149.14	347	491	1
2024.07.10	16:40:00	355126.45	355580.25	354899.54	355013.00	497	681	1
2024.07.10	16:45:00	355035.69	355398.73	354967.62	355035.69	371	544	1
2024.07.10	16:50:00	354990.31	355466.80	354899.54	355217.21	431	554	1
2024.07.10	16:55:00	355194.52	355376.04	354468.43	354559.19	538	730	1
2024.07.10	17:00:00	354604.57	355330.66	354377.67	354990.31	488	631	1
2024.07.10	17:05:00	354967.62	355103.76	354491.12	355013.00	423	623	1
2024.07.10	17:10:00	355013.00	355262.59	354740.71	355194.52	202	271	1
2024.07.10	17:15:00	355194.52	355602.95	354944.93	355035.69	480	662	1
2024.07.10	17:20:00	355103.76	355285.28	354876.85	355081.07	174	271	1
2024.07.10	17:25:00	355035.69	355035.69	354037.31	354377.67	477	636	1
2024.07.10	17:30:00	354354.98	354445.74	353560.81	353923.86	649	839	1
2024.07.10	17:35:00	353787.72	354354.98	353447.36	353855.79	466	632	1
2024.07.10	17:40:00	353833.10	354536.50	353696.96	354150.76	335	432	1
2024.07.10	17:45:00	354150.76	354491.12	354014.62	354241.52	231	407	1
2024.07.10	17:50:00	354309.60	355149.14	354150.76	354309.60	369	460	1
2024.07.10	17:55:00	354286.91	354990.31	354286.91	354718.02	148	191	1
2024.07.10	18:00:00	354718.02	355103.76	354309.60	354944.93	162	185	1
2024.07.10	18:05:00	354876.85	354990.31	354536.50	354876.85	109	119	1
2024.07.10	18:10:00	354876.85	354922.23	353447.36	353696.96	242	289	1
2024.07.10	18:15:00	353696.96	353946.55	353107.01	353515.43	241	267	1
2024.07.10	18:20:00	353356.60	353855.79	353152.39	353855.79	128	145	1
2024.07.10	18:25:00	353855.79	354332.29	352925.49	353606.20	100	111	1
2024.07.11	09:00:00	362273.90	362727.71	361207.46	361547.81	804	983	1
2024.07.11	09:05:00	361547.81	362682.33	360935.17	362432.74	988	1121	1
2024.07.11	09:10:00	362432.74	363294.97	361729.34	361956.24	1077	1209	1
2024.07.11	09:15:00	361956.24	362183.14	361048.63	361547.81	909	1108	1
2024.07.11	09:20:00	361388.98	362069.69	361230.15	362024.31	603	735	1
2024.07.11	09:25:00	361933.55	363068.07	361184.77	362137.76	864	1060	1
2024.07.11	09:30:00	362137.76	366131.26	361661.26	363658.01	2230	2593	1
2024.07.11	09:35:00	363680.70	363794.16	361933.55	363612.63	1283	1413	1
2024.07.11	09:40:00	363680.70	363884.92	361729.34	362341.97	1118	1219	1
2024.07.11	09:45:00	362410.05	364225.27	362092.38	364225.27	992	1135	1
2024.07.11	09:50:00	364134.51	364860.60	361683.96	362251.21	1569	1746	1
2024.07.11	09:55:00	362273.90	362841.16	361661.26	362705.02	970	1093	1
2024.07.11	10:00:00	362682.33	363158.83	362001.62	362636.95	887	995	1
2024.07.11	10:05:00	362568.88	362954.61	359914.11	360004.87	1266	1469	1
2024.07.11	10:10:00	360072.94	360617.51	359165.33	360549.44	1571	1768	1
2024.07.11	10:15:00	360594.82	361842.79	360367.92	361593.19	1248	1496	1
2024.07.11	10:20:00	361570.50	362205.83	360935.17	361933.55	985	1150	1
2024.07.11	10:25:00	361910.86	362931.92	361683.96	362750.40	837	1042	1
2024.07.11	10:30:00	362614.26	364293.34	362500.81	362841.16	1681	2058	1
2024.07.11	10:35:00	362863.85	363567.25	361956.24	362047.00	1136	1366	1
2024.07.11	10:40:00	362024.31	362024.31	359936.80	361139.39	1933	2366	1
2024.07.11	10:45:00	361139.39	361683.96	360662.89	361366.29	995	1109	1
2024.07.11	10:50:00	361320.91	361366.29	360072.94	360572.13	979	1151	1
2024.07.11	10:55:00	360685.58	361547.81	360141.01	361502.43	767	922	1
2024.07.11	11:00:00	361525.12	361978.93	360821.72	361025.94	742	854	1
2024.07.11	11:05:00	361048.63	361956.24	360708.27	361366.29	704	801	1
2024.07.11	11:10:00	361366.29	361774.72	359619.13	360027.56	1159	1408	1
2024.07.11	11:15:00	360050.25	360345.23	357236.65	357713.15	2461	3100	1
2024.07.11	11:20:00	357690.46	357962.74	356260.96	356374.42	1897	2271	1
2024.07.11	11:25:00	356397.11	357735.84	356124.82	357554.31	1225	1366	1
2024.07.11	11:30:00	357531.62	358166.95	357259.34	357713.15	915	1096	1
2024.07.11	11:35:00	357667.77	358530.00	357599.69	358325.79	798	1059	1
2024.07.11	11:40:00	358348.48	359278.78	356987.06	357032.44	1231	1560	1
2024.07.11	11:45:00	356987.06	357871.98	356306.35	357440.86	1072	1261	1
2024.07.11	11:50:00	357463.55	358098.88	356782.84	357940.05	746	871	1
2024.07.11	11:55:00	357985.43	358280.40	357168.58	357327.41	878	1064	1
2024.07.11	12:00:00	357350.10	358098.88	357100.51	357803.91	754	888	1
2024.07.11	12:05:00	357826.60	358575.38	357395.48	357508.93	674	765	1
2024.07.11	12:10:00	357508.93	357985.43	357123.20	357713.15	564	645	1
2024.07.11	12:15:00	357690.46	358779.59	357350.10	358711.52	793	955	1
2024.07.11	12:20:00	358643.45	359596.44	358620.76	359119.95	1012	1241	1
2024.07.11	12:25:00	359119.95	359301.47	357690.46	357713.15	997	1166	1
2024.07.11	12:30:00	357713.15	357713.15	356283.66	356828.22	1142	1352	1
2024.07.11	12:35:00	356828.22	357554.31	356624.01	356850.91	736	879	1
2024.07.11	12:40:00	356805.53	357123.20	355512.18	356601.32	1608	1901	1
2024.07.11	12:45:00	356578.63	356737.46	355285.28	355625.64	945	1127	1
2024.07.11	12:50:00	355671.02	355875.23	354695.33	354786.09	1036	1250	1
2024.07.11	12:55:00	354786.09	355489.49	354604.57	355421.42	868	1026	1
2024.07.11	13:00:00	355421.42	355761.78	354332.29	354468.43	1008	1150	1
2024.07.11	13:05:00	354468.43	355943.30	354286.91	355739.09	1036	1220	1
2024.07.11	13:10:00	355784.47	356260.96	355239.90	356124.82	719	883	1
2024.07.11	13:15:00	356147.51	356760.15	355829.85	356533.25	584	706	1
2024.07.11	13:20:00	356533.25	356987.06	356147.51	356692.08	648	752	1
2024.07.11	13:25:00	356692.08	357622.38	356624.01	357440.86	610	761	1
2024.07.11	13:30:00	357486.24	358507.31	357395.48	357940.05	723	931	1
