<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.10	08:00:00	360980.55	361661.26	354309.60	356828.22	13704	16777	1
2024.07.10	10:00:00	356828.22	357667.77	353991.93	355285.28	25849	31135	1
2024.07.10	12:00:00	355330.66	357781.22	354060.00	356669.39	18949	24298	1
2024.07.10	14:00:00	356669.39	357032.44	354332.29	355489.49	14350	17899	1
2024.07.10	16:00:00	355466.80	355602.95	353447.36	354718.02	10742	14320	1
2024.07.10	18:00:00	354718.02	355103.76	352925.49	353606.20	982	1116	1
2024.07.11	08:00:00	362273.90	366131.26	360935.17	362705.02	13407	15415	1
2024.07.11	10:00:00	362682.33	364293.34	356124.82	357327.41	28113	33603	1
2024.07.11	12:00:00	357350.10	359596.44	354286.91	357871.98	20210	24208	1
2024.07.11	14:00:00	357871.98	359982.18	357440.86	358666.14	14796	18300	1
2024.07.11	16:00:00	358643.45	358847.66	354899.54	356102.13	13751	16957	1
2024.07.11	18:00:00	355875.23	357123.20	355671.02	355784.47	731	838	1
2024.07.12	08:00:00	354286.91	355739.09	353084.32	355557.56	9829	10908	1
2024.07.12	10:00:00	355534.87	361207.46	355262.59	360095.63	25927	30974	1
2024.07.12	12:00:00	360095.63	362931.92	359573.75	360572.13	15614	18900	1
2024.07.12	14:00:00	360549.44	362591.57	359414.92	361252.84	16059	19898	1
2024.07.12	16:00:00	361252.84	361683.96	354241.52	356170.20	20341	26225	1
2024.07.12	18:00:00	356283.66	357599.69	356192.89	357463.55	1098	1367	1
2024.07.15	08:00:00	379359.73	391340.22	379359.73	389956.11	8194	9597	1
2024.07.15	10:00:00	389933.42	392678.95	388708.15	392565.50	20685	25358	1
2024.07.15	12:00:00	392610.88	394902.61	389683.83	393700.02	20243	26086	1
2024.07.15	14:00:00	393722.71	396014.43	391794.03	393972.30	19998	25885	1
2024.07.15	16:00:00	393972.30	395855.60	392928.55	394675.70	16536	21451	1
2024.07.15	18:00:00	394675.70	396967.43	394539.56	396604.38	1130	1388	1
2024.07.16	08:00:00	395379.10	397398.54	393972.30	394970.68	10835	12734	1
2024.07.16	10:00:00	394925.30	395356.41	389502.31	393904.23	28444	34102	1
2024.07.16	12:00:00	393881.54	404750.21	393541.19	400779.40	33188	43867	1
2024.07.16	14:00:00	400734.02	401301.28	398510.37	401074.38	18523	23604	1
2024.07.16	16:00:00	401006.31	403479.55	399962.55	400665.95	20004	27021	1
2024.07.16	18:00:00	400529.81	401119.76	398986.87	398986.87	1251	1470	1
2024.07.17	08:00:00	400007.93	403093.82	399690.27	402004.68	9588	11417	1
2024.07.17	10:00:00	402095.44	406157.01	401868.54	404682.14	28276	33728	1
2024.07.17	12:00:00	404682.14	407404.98	399327.22	401301.28	25455	32012	1
2024.07.17	14:00:00	401233.21	403252.65	399009.56	403139.20	15158	19253	1
2024.07.17	16:00:00	403139.20	404455.24	402322.35	402503.87	11795	15159	1
2024.07.17	18:00:00	402413.11	403003.06	401482.80	402957.68	1225	1479	1
2024.07.18	08:00:00	404455.24	409197.52	404205.64	408789.09	10014	11422	1
2024.07.18	10:00:00	408766.40	411103.51	402390.42	403978.74	29393	35664	1
2024.07.18	12:00:00	403933.36	404840.97	399486.05	404840.97	21342	27236	1
2024.07.18	14:00:00	404772.90	405362.85	401755.09	403003.06	17536	22508	1
2024.07.18	16:00:00	402957.68	405317.47	401460.11	402957.68	15548	20651	1
2024.07.18	18:00:00	402957.68	403865.29	402390.42	403502.24	574	705	1
2024.07.19	08:00:00	400484.43	407382.29	400484.43	407132.70	4290	5562	1
2024.07.19	10:00:00	407087.32	416322.28	404069.50	415618.88	13775	16925	1
2024.07.19	12:00:00	415664.26	422743.65	413327.16	422267.15	15334	19512	1
2024.07.19	14:00:00	422289.84	426124.51	420928.42	425988.37	16845	20920	1
2024.07.19	16:00:00	425988.37	430662.58	425965.68	427009.43	17603	23327	1
2024.07.19	18:00:00	426895.98	431865.16	426623.70	429278.47	1683	2034	1
2024.07.22	08:00:00	430549.12	430549.12	428302.78	429074.25	8686	9578	1
2024.07.22	10:00:00	429051.56	430912.17	420565.38	421223.40	29361	34370	1
2024.07.22	12:00:00	421155.33	424536.19	420520.00	423061.31	20750	25096	1
2024.07.22	14:00:00	423129.38	427803.59	422607.51	427327.10	18759	23412	1
2024.07.22	16:00:00	427304.41	432455.11	426669.08	431660.95	21473	27080	1
2024.07.22	18:00:00	431683.64	432228.21	428847.35	429528.06	1578	1885	1
2024.07.23	08:00:00	423015.93	424309.28	421654.51	422471.37	11410	13304	1
2024.07.23	10:00:00	422471.37	426124.51	418931.67	425443.80	36219	43208	1
2024.07.23	12:00:00	425443.80	425670.70	417479.49	417592.94	28487	34070	1
2024.07.23	14:00:00	417592.94	420134.26	416730.71	418704.77	21462	27069	1
2024.07.23	16:00:00	418636.70	419907.36	415255.84	418160.20	18889	23735	1
2024.07.23	18:00:00	418114.82	418954.36	417071.07	417955.99	1312	1659	1
2024.07.24	08:00:00	422834.41	426306.03	422131.01	423220.15	11430	13216	1
2024.07.24	10:00:00	423174.77	429165.01	423152.08	426124.51	29637	35996	1
2024.07.24	12:00:00	426079.13	426578.32	421881.42	424263.90	22637	28772	1
2024.07.24	14:00:00	424377.35	427304.41	422357.91	422698.27	20535	26080	1
2024.07.24	16:00:00	422766.34	424831.16	421132.64	423900.86	15812	20626	1
2024.07.24	18:00:00	424037.00	424195.83	421359.54	421904.11	1564	1898	1
2024.07.25	08:00:00	413554.06	414756.65	409492.49	410649.70	12119	14559	1
2024.07.25	10:00:00	410649.70	415709.64	407609.20	415437.36	24786	31338	1
2024.07.25	12:00:00	415460.05	416140.76	412306.09	414144.01	16702	20891	1
2024.07.25	14:00:00	414121.32	417366.04	412737.21	413758.28	17526	22633	1
2024.07.25	16:00:00	413735.59	417366.04	412555.69	417002.99	13365	16756	1
2024.07.25	18:00:00	417207.21	419476.24	416458.43	418999.74	1170	1418	1
2024.07.26	08:00:00	431107.34	435082.97	428758.11	433637.29	4235	5093	1
2024.07.26	10:00:00	433682.47	440278.40	432485.26	436528.66	21439	25932	1
