<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.10	09:00:00	360980.55	361411.67	360254.46	360254.46	423	498	1
2024.07.10	09:04:00	360413.30	361003.25	360141.01	360867.10	430	508	1
2024.07.10	09:08:00	360935.17	361207.46	359936.80	360526.75	482	560	1
2024.07.10	09:12:00	360617.51	361661.26	360617.51	360844.41	617	741	1
2024.07.10	09:16:00	360799.03	360957.86	359619.13	359664.52	778	931	1
2024.07.10	09:20:00	359709.90	359914.11	359142.64	359165.33	423	497	1
2024.07.10	09:24:00	359233.40	359414.92	358620.76	359074.57	727	978	1
2024.07.10	09:28:00	359006.50	359210.71	357418.17	357667.77	706	874	1
2024.07.10	09:32:00	357622.38	357871.98	355262.59	355444.11	2586	3200	1
2024.07.10	09:36:00	355444.11	356737.46	355239.90	356419.80	1575	1967	1
2024.07.10	09:40:00	356419.80	356737.46	355444.11	355739.09	777	906	1
2024.07.10	09:44:00	355761.78	356056.75	354309.60	355761.78	1600	1988	1
2024.07.10	09:48:00	355761.78	356419.80	355126.45	355285.28	1166	1454	1
2024.07.10	09:52:00	355285.28	356056.75	355058.38	355262.59	644	741	1
2024.07.10	09:56:00	355262.59	356918.98	355058.38	356828.22	770	934	1
2024.07.10	10:00:00	356828.22	357622.38	356283.66	356419.80	1528	1791	1
2024.07.10	10:04:00	356351.73	357418.17	355602.95	357191.27	995	1198	1
2024.07.10	10:08:00	357236.65	357418.17	356828.22	357372.79	638	750	1
2024.07.10	10:12:00	357372.79	357667.77	356646.70	356737.46	778	912	1
2024.07.10	10:16:00	356737.46	356873.60	356124.82	356397.11	750	937	1
2024.07.10	10:20:00	356510.56	356896.29	355398.73	355761.78	963	1105	1
2024.07.10	10:24:00	355739.09	356351.73	355534.87	356079.44	618	724	1
2024.07.10	10:28:00	356147.51	356805.53	355512.18	356147.51	1035	1239	1
2024.07.10	10:32:00	356170.20	356510.56	354922.23	355217.21	947	1123	1
2024.07.10	10:36:00	355239.90	356215.58	354354.98	355965.99	1633	1931	1
2024.07.10	10:40:00	355943.30	356306.35	354445.74	354627.26	1618	1983	1
2024.07.10	10:44:00	354604.57	355852.54	354014.62	355648.33	1314	1663	1
2024.07.10	10:48:00	355716.40	355739.09	353991.93	354354.98	925	1110	1
2024.07.10	10:52:00	354400.36	355285.28	354082.69	354718.02	893	1115	1
2024.07.10	10:56:00	354740.71	355897.92	354649.95	355739.09	649	779	1
2024.07.10	11:00:00	355761.78	356260.96	355126.45	356238.27	957	1179	1
2024.07.10	11:04:00	356283.66	356487.87	355829.85	355988.68	778	913	1
2024.07.10	11:08:00	355920.61	356147.51	354808.78	354922.23	730	857	1
2024.07.10	11:12:00	354944.93	355126.45	354150.76	354468.43	984	1202	1
2024.07.10	11:16:00	354445.74	355557.56	353991.93	354740.71	1241	1462	1
