<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.19	09:00:00	179395	180023	179343	179572	165174	503289	1
2021.04.19	09:20:00	179565	179742	179366	179388	138558	455326	1
2021.04.19	09:40:00	179388	179580	179380	179439	88656	321159	1
2021.04.19	10:00:00	179447	179469	179070	179380	243725	855901	1
2021.04.19	10:20:00	179380	179705	178982	179676	270746	985300	1
2021.04.19	10:40:00	179668	179705	179144	179307	262817	959865	1
2021.04.19	11:00:00	179307	179380	178790	179255	270213	1037939	1
2021.04.19	11:20:00	179262	180229	179240	179956	276496	1165267	1
2021.04.19	11:40:00	179956	180015	179572	179580	178466	787781	1
2021.04.19	12:00:00	179580	180274	179432	180067	232440	993122	1
2021.04.19	12:20:00	180067	180835	179971	180613	195451	806180	1
2021.04.19	12:40:00	180606	180702	180229	180384	121555	479901	1
2021.04.19	13:00:00	180384	180665	180192	180488	133960	512032	1
2021.04.19	13:20:00	180488	180525	179809	179838	130154	495999	1
2021.04.19	13:40:00	179838	179897	179580	179831	136076	549091	1
2021.04.19	14:00:00	179823	180067	179786	179934	112637	444741	1
2021.04.19	14:20:00	179934	180296	179868	180170	131040	479688	1
2021.04.19	14:40:00	180170	180237	179868	180023	102882	388943	1
2021.04.19	15:00:00	180015	180274	179875	180215	118592	444904	1
2021.04.19	15:20:00	180207	180665	179794	179823	185442	734214	1
2021.04.19	15:40:00	179831	180037	179735	179956	114387	469450	1
2021.04.19	16:00:00	179956	180060	179528	179587	135373	534876	1
2021.04.19	16:20:00	179587	179594	178731	179137	208345	909471	1
2021.04.19	16:40:00	179144	179454	179085	179358	107262	461816	1
2021.04.19	17:00:00	179358	179395	179048	179233	62063	252583	1
2021.04.19	17:20:00	179240	179255	179041	179196	40660	163220	1
2021.04.19	17:40:00	179188	179321	179144	179166	28857	120184	1
2021.04.20	09:00:00	178509	178952	178354	178834	169440	510215	1
2021.04.20	09:20:00	178834	178945	178576	178620	121195	390211	1
2021.04.20	09:40:00	178620	178753	178539	178716	97720	355191	1
2021.04.20	10:00:00	178716	179786	178583	179720	339189	1285665	1
2021.04.20	10:20:00	179720	179757	179151	179174	249482	967101	1
2021.04.20	10:40:00	179181	179181	178266	178546	339566	1425468	1
2021.04.20	11:00:00	178546	179380	178435	179159	242378	992537	1
2021.04.20	11:20:00	179159	179343	178613	178686	218220	848458	1
2021.04.20	11:40:00	178686	178797	178332	178664	209761	873874	1
2021.04.20	12:00:00	178672	178878	178302	178347	184222	738232	1
2021.04.20	12:20:00	178347	178384	177786	177985	228830	960813	1
2021.04.20	12:40:00	177985	178458	177941	178435	153790	644154	1
2021.04.20	13:00:00	178428	178553	177926	178140	142300	575527	1
2021.04.20	13:20:00	178133	178302	177992	178015	94869	382661	1
2021.04.20	13:40:00	178015	178081	177645	177874	116154	487373	1
2021.04.20	14:00:00	177874	177970	177564	177896	120578	490415	1
2021.04.20	14:20:00	177889	177941	177572	177837	119375	490857	1
2021.04.20	14:40:00	177837	178317	177778	178214	138516	572592	1
2021.04.20	15:00:00	178214	178435	177852	177985	139846	574841	1
2021.04.20	15:20:00	177992	178111	177660	177749	122879	490008	1
2021.04.20	15:40:00	177756	178022	177668	177778	113518	467706	1
2021.04.20	16:00:00	177771	178111	177756	178029	87693	363324	1
2021.04.20	16:20:00	178029	178096	177579	177719	106252	438472	1
2021.04.20	16:40:00	177719	178140	177712	178000	114140	466375	1
2021.04.20	17:00:00	178000	178022	177675	177756	71694	291147	1
2021.04.20	17:20:00	177764	177778	177586	177616	34603	139783	1
2021.04.20	17:40:00	177609	177756	177557	177579	34442	118270	1
2021.04.22	09:00:00	178325	178723	177867	178642	209170	602816	1
2021.04.22	09:20:00	178642	178775	178465	178605	136651	430813	1
2021.04.22	09:40:00	178605	178915	178561	178886	127520	433873	1
2021.04.22	10:00:00	178893	179277	178864	178930	226477	771390	1
2021.04.22	10:20:00	178923	179336	178642	178989	318406	1153815	1
2021.04.22	10:40:00	178989	179063	177513	177586	344834	1359668	1
2021.04.22	11:00:00	177594	178000	177195	177992	287459	1115071	1
2021.04.22	11:20:00	177992	179151	177882	178834	271965	1131382	1
2021.04.22	11:40:00	178834	178871	177941	178081	217371	878952	1
2021.04.22	12:00:00	178081	178384	177978	178251	146716	627101	1
2021.04.22	12:20:00	178258	178317	177793	177919	151664	610344	1
2021.04.22	12:40:00	177919	178435	177911	178111	145886	554105	1
2021.04.22	13:00:00	178111	178494	177956	178347	137756	538398	1
2021.04.22	13:20:00	178339	178686	178118	178369	154975	610694	1
2021.04.22	13:40:00	178369	178553	178088	178162	122038	461943	1
2021.04.22	14:00:00	178162	178332	176693	176723	299973	1224750	1
2021.04.22	14:20:00	176723	177549	176627	177343	224156	875750	1
2021.04.22	14:40:00	177343	177476	176767	177262	205099	808374	1
2021.04.22	15:00:00	177262	177439	176796	177402	155837	597203	1
2021.04.22	15:20:00	177394	177800	177239	177453	145904	606392	1
2021.04.22	15:40:00	177453	177513	177025	177239	131707	523845	1
2021.04.22	16:00:00	177239	177328	176612	176900	160401	645247	1
2021.04.22	16:20:00	176900	177202	176700	176900	140192	554093	1
2021.04.22	16:40:00	176900	176996	176641	176804	107531	482959	1
2021.04.22	17:00:00	176804	177143	176782	177025	67362	255455	1
2021.04.22	17:20:00	177025	177173	177003	177129	40137	149050	1
2021.04.22	17:40:00	177129	177572	177121	177557	52961	177253	1
2021.04.23	09:00:00	178214	178458	177919	177919	210067	554085	1
2021.04.23	09:20:00	177926	178125	177800	178066	159120	481344	1
2021.04.23	09:40:00	178059	178266	177933	178029	129690	410173	1
2021.04.23	10:00:00	178029	178517	177771	177985	291575	963407	1
2021.04.23	10:20:00	177985	179048	177852	178856	384634	1350240	1
2021.04.23	10:40:00	178856	179115	178465	178524	267582	952073	1
2021.04.23	11:00:00	178524	178649	178111	178140	245555	909046	1
2021.04.23	11:20:00	178147	178782	178096	178170	258134	930444	1
2021.04.23	11:40:00	178170	178310	177778	177933	233906	910330	1
2021.04.23	12:00:00	177941	178465	177874	178088	186616	713602	1
2021.04.23	12:20:00	178088	178147	177623	177956	159764	563285	1
2021.04.23	12:40:00	177956	178362	177786	177948	144799	499332	1
2021.04.23	13:00:00	177956	178288	177933	177992	105884	356302	1
2021.04.23	13:20:00	177992	178553	177941	178155	110771	391813	1
2021.04.23	13:40:00	178155	178458	178007	178413	110176	392548	1
2021.04.23	14:00:00	178406	178627	178369	178509	113311	393632	1
2021.04.23	14:20:00	178517	178649	178428	178480	88299	322204	1
2021.04.23	14:40:00	178487	178561	178125	178162	113752	401688	1
2021.04.23	15:00:00	178162	178280	177992	178059	94196	321883	1
2021.04.23	15:20:00	178059	178509	178051	178302	115776	414958	1
2021.04.23	15:40:00	178302	178627	178295	178546	96585	377819	1
2021.04.23	16:00:00	178553	178694	178317	178657	92734	347879	1
